cluster_id,feature,mean_importance,std_importance
2,atr_14,0.010071942446043172,0.020075865191501802
2,swing_low_distance_14,0.005683453237410078,0.009900911694295703
2,d1_close_slope_magnitude,0.0017505995203836956,0.002667235318588807
2,kijun_26_distance,0.0015587529976019234,0.007332518392925106
2,prior_session_low_distance,0.0014868105515587556,0.007408009504871045
2,spread_vs_trailing_100,0.0007673860911271038,0.003825887672158096
2,prior_session_high_distance,0.000695443645083936,0.0046890225581210365
2,spread_percentile_100,0.00014388489208633446,0.0016695785437340625
2,session_dead,7.1942446043165e-05,0.0008180134967555509
2,range_close_ratio,-7.194244604316061e-05,0.0044456540006693164
2,session_tokyo,-9.592326139088667e-05,0.0009367000671536426
2,day_of_week,-0.0001438848920863285,0.003259601911457054
2,session_ldn_ny_overlap,-0.00016786570743405023,0.0006501410892914066
2,w1_close_slope_sign,-0.00023980815347721674,0.001205872963809382
2,d1_atr_percentile_100,-0.0002637889688249369,0.004015878878692248
2,session_ny,-0.00026378896882493845,0.0009658473538327442
2,session_london,-0.0002877697841726601,0.0024290565490840328
2,distance_to_round_number,-0.000407673860911264,0.002943952939082014
2,d1_close_slope_sign,-0.00047961630695442903,0.0020738305507724125
2,hour_of_day,-0.0008393285371702616,0.0020915812073127346
2,swing_high_distance_14,-0.0009112709832134265,0.0046680825558125015
2,atr_vs_trailing_100,-0.001750599520383691,0.00462631776709949
2,atr_percentile_100,-0.002398081534772178,0.005618336341319173
