fold_id,oos_start,oos_end,n_trades,roi_pct,max_dd_pct,days_breaching_daily_5pct,roi_dd_ratio
2,2011-01-01,2011-12-31,14,0.1227786159234876,0.029285421276906035,0,4.192482490265853
3,2012-01-01,2012-12-31,11,0.09293167481517006,0.022839173223905374,0,4.0689596731067335
4,2013-01-01,2013-12-31,17,0.29892376363791295,0.02332306130729218,0,12.81666071616643
5,2014-01-01,2014-12-31,11,0.03523595185935591,0.0456943899945003,0,0.7711220537925301
6,2015-01-01,2015-12-31,14,0.10914350098990111,0.02711749607686938,0,4.0248369790674765
7,2016-01-01,2016-12-31,14,0.14963908027302342,0.03494881127998845,0,4.2816643769141915
8,2017-01-01,2017-12-31,17,0.10883339533079117,0.038988954004364626,0,2.79139048763934
9,2018-01-01,2018-12-31,14,0.1281216192487733,0.04535458958244934,0,2.824887633827293
10,2019-01-01,2019-12-31,19,0.10477946788534331,0.03141449190037015,0,3.3353863630087464
11,2020-01-01,2020-12-31,16,0.1506651940919408,0.022510120526097,0,6.693220230307866
