fold,oos_start,oos_end,n_oos_signals,n_train,n_train_pos,n_admitted,n_admitted_cluster0_true_pos,admit_rate,n_trades,final_r_mean,final_r_sign_positive,fold_roi_pct,annualised_roi_pct,max_dd_pct,ending_equity,note
1,2020-10-01,2021-07-01,336,0,0,0,0,0,0,,0,0,0,0,10000,no training data (anchored expanding under KH-24 fold dates; Arc 9 data starts at fold 1 OOS_start)
2,2021-07-01,2022-04-01,324,336,48,50,25,0.1543209877,50,0.9767331213,1,27.40296799,38.10436491,1.009827111,12740.2968,
3,2022-04-01,2023-01-01,335,660,95,24,10,0.07164179104,24,0.5797718695,1,7.167169918,9.629513201,0.5038330502,10716.71699,
4,2023-01-01,2023-10-01,297,995,145,32,15,0.1077441077,32,0.7254752048,1,12.24971663,16.71951036,0.5106258429,11224.97166,
5,2023-10-01,2024-07-01,277,1292,197,39,20,0.1407942238,39,0.6116976732,1,12.58728444,17.12154675,1.316149586,11258.72844,
6,2024-07-01,2025-04-01,295,1569,267,44,18,0.1491525424,44,0.8037390533,1,19.21394015,26.39973856,0.7912416155,11921.39402,
7,2025-04-01,2026-01-01,289,1864,312,47,21,0.1626297578,47,0.835272602,1,21.53606519,29.56982403,0.5166778458,12153.60652,
