run,fold_id,oos_start,oos_end,days,n_trades,n_admitted,n_rejected,n_pre_t_losses,mean_r,sum_r,roi_period_pct,roi_annualised_pct,max_dd_pct,admit_only_final_r_mean,classifier_trained,n_is_trades,notes
B_agg_c1c3_d1_t5_sl3,1,2020-10-01,2021-07-01,273,133,133,0,0,1.1168,148.5404,107.4108,165.3949,4.9527,1.1168,0,0,classifier not trained (IS < 50); admitted-all fallback
B_agg_c1c3_d1_t5_sl3,2,2021-07-01,2022-04-01,274,114,33,81,0,0.5415,61.7350,35.5218,49.9588,2.6144,1.5043,1,132,
B_agg_c1c3_d1_t5_sl3,3,2022-04-01,2023-01-01,275,123,21,102,0,0.3505,43.1138,23.7878,32.7679,1.0855,1.0893,1,246,
B_agg_c1c3_d1_t5_sl3,4,2023-01-01,2023-10-01,273,132,18,114,0,0.3210,42.3760,23.3351,32.3933,1.1513,1.5430,1,369,
B_agg_c1c3_d1_t5_sl3,5,2023-10-01,2024-07-01,274,131,12,119,0,0.3451,45.2053,25.1855,34.9094,0.9975,1.7428,1,501,
B_agg_c1c3_d1_t5_sl3,6,2024-07-01,2025-04-01,274,123,10,113,0,0.2876,35.3744,19.1428,26.2992,0.8101,1.7893,1,632,
B_agg_c1c3_d1_t5_sl3,7,2025-04-01,2026-01-31,305,133,13,120,0,0.3471,46.1695,25.7509,31.5735,1.3980,2.0120,1,755,
