run,sign_consistency,worst_fold_roi_ann_pct,mean_fold_roi_ann_pct,worst_fold_dd_pct,min_trade_count,full_data_roi_pct,full_data_ann_roi_pct,full_data_dd_pct,full_data_days,pass_deployable,pass_viable,fail_notes
A_c1_raw_sl3,1,101.3938,152.1221,2.4751,42,13006.5727,149.4763,2.4751,1948,1,1,
B_agg_c1c3_d1_t5_sl3,1,26.2992,53.3281,4.9527,114,704.8918,47.8515,4.9527,1948,1,1,
