t,corr_close_t_vs_final,decile_means,n_trades
1,0.120002624408499,"[-1.2302584648132324, -0.49818155169487, 0.03783511370420456, 0.2814761698246002, 0.2622760832309723, 0.47151654958724976, 0.37614330649375916, 0.5922862887382507, 0.8953508138656616, 0.6768519878387451]",3993
3,0.17152667120459325,"[-1.7015600204467773, -0.3114849030971527, -0.20615752041339874, -0.3466448485851288, 0.5113978385925293, 0.3683858811855316, 0.31273534893989563, 0.7514610290527344, 1.052679181098938, 1.4331458806991577]",3993
5,0.1937354799065103,"[-1.9162490367889404, -0.33273252844810486, -0.1996055394411087, -0.32365137338638306, 0.533481776714325, 0.21236708760261536, 0.49835431575775146, 0.5151731371879578, 0.8633264303207397, 2.012524127960205]",3993
10,0.25468633448014,"[-2.1703052520751953, -0.8315902352333069, -0.2101019322872162, -0.4866751730442047, -0.014280462637543678, 0.4687920808792114, 0.052975066006183624, 1.047206163406372, 1.8315660953521729, 2.17699933052063]",3993
20,0.33903929539612754,"[-3.0282397270202637, -1.2606343030929565, -0.5083625912666321, -0.5286551117897034, 0.10650847107172012, 0.5758877992630005, 0.3852229714393616, 1.2601158618927002, 1.9235529899597168, 2.939126491546631]",3993
