fold,oos_start,oos_end,n_trades,final_r_mean,final_r_sign_positive,fold_roi_pct,annualised_roi_pct,max_dd_pct,ending_equity
1,2020-10-01,2021-07-01,336,-0.142799268,0,-23.10487915,-29.63728258,43.61424253,7689.512085
2,2021-07-01,2022-04-01,324,0.0006036144469,0,-3.259484555,-4.321232325,34.38044296,9674.051544
3,2022-04-01,2023-01-01,335,-0.06559293984,0,-13.14224943,-17.06713558,34.0106467,8685.775057
4,2023-01-01,2023-10-01,297,-0.09514652789,0,-14.82499022,-19.32038086,18.02653366,8517.500978
5,2023-10-01,2024-07-01,277,0.3526724916,1,58.44295352,84.68705268,14.11642423,15844.29535
6,2024-07-01,2025-04-01,295,-0.007145579474,0,-3.474288567,-4.604324943,36.33868954,9652.571143
7,2025-04-01,2026-01-01,289,0.1620663202,1,23.9023148,32.93103724,14.81452667,12390.23148
