trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,sweep_magnitude_atr,reclaim_strength_ratio,time_to_peak_mfe,calendar_year
25,AUD_CHF,2020-10-29 12:00:00,2020-10-29 16:00:00,0.64215,0.6376534129,2020-12-24 16:00:00,0.67653,time_exit,7.645798793,240,7.91489177,-0.2179430721,1.6,1.4,0.64086,0.329138517,1.648648649,240,2020
26,AUD_JPY,2020-10-29 12:00:00,2020-10-29 16:00:00,73.3605,72.77563115,2020-12-24 16:00:00,78.787,time_exit,9.278148427,240,9.372186603,-0.3735880275,0.9,0.4,73.262,0.4377049659,0.7109375,240,2020
27,AUD_CAD,2020-11-02 00:00:00,2020-11-02 04:00:00,0.93603,0.9306868826,2020-11-03 04:00:00,0.9306168826,stoploss,-1.013100966,7,7.961644338,-1.152885029,0.2,1.4,0.93532,0.4416897188,0.593220339,2,2020
28,EUR_USD,2020-11-02 08:00:00,2020-11-02 12:00:00,1.164055,1.158857793,2020-12-29 12:00:00,1.224945,time_exit,11.71590911,240,12.16711303,-0.7436687255,0.7,0.7,1.163,0.3040094661,1.278481013,200,2020
29,GBP_USD,2020-11-02 08:00:00,2020-11-02 12:00:00,1.291055,1.282177959,2020-12-29 12:00:00,1.347205,time_exit,6.325306006,240,8.042657566,-0.2382550704,0.1,0.9,1.28804,0.606057815,1.089219331,199,2020
30,EUR_CAD,2020-11-03 00:00:00,2020-11-03 04:00:00,1.53911,1.531046689,2020-12-30 04:00:00,1.57314,time_exit,4.22035082,240,4.892531291,-0.9673445899,0.4,0.2,1.53811,0.4365452508,0.5568181818,213,2020
31,EUR_AUD,2020-11-04 00:00:00,2020-11-04 04:00:00,1.636125,1.622571159,2020-11-09 12:00:00,1.622526159,stoploss,-1.003320092,21,1.045828984,-3.019439236,1.1,0.9,1.63343,0.606470141,0.6690997567,1,2020
32,USD_CHF,2020-11-04 00:00:00,2020-11-04 04:00:00,0.914425,0.9097673512,2020-11-05 08:00:00,0.9097423512,stoploss,-1.005367515,8,1.115369617,-7.234336717,0.1,0.5,0.91167,1.198029348,0.9892473118,0,2020
33,GBP_CAD,2020-11-05 00:00:00,2020-11-05 04:00:00,1.70554,1.692253631,2020-12-10 16:00:00,1.691993631,stoploss,-1.019568928,154,3.323707227,-2.156345382,0.2,5.2,1.70255,0.74361928,0.6052631579,75,2020
34,CAD_CHF,2020-11-09 00:00:00,2020-11-09 04:00:00,0.691355,0.6862331533,2020-12-22 16:00:00,0.6861831533,stoploss,-1.009762104,190,2.66017331,-1.010377753,1.5,1,0.68788,0.2772437505,4.788732394,14,2020
35,EUR_GBP,2020-11-10 12:00:00,2020-11-10 16:00:00,0.892085,0.88555677,2021-01-07 16:00:00,0.902825,time_exit,1.645162612,240,4.730991367,-0.916787545,0.5,0.5,0.89031,0.5851509477,0.9214659686,137,2020
36,EUR_NZD,2020-11-10 12:00:00,2020-11-10 16:00:00,1.73196,1.719076069,2020-11-11 04:00:00,1.719066069,stoploss,-1.000776161,4,0.3655716641,-3.547054151,1.6,0.2,1.72761,0.3756617525,1.760330579,0,2020
37,CAD_JPY,2020-11-18 16:00:00,2020-11-18 20:00:00,79.5835,79.07685543,2021-01-15 20:00:00,81.6495,time_exit,4.077809448,240,5.136737216,-0.7549671413,0.3,0.1,79.334,0.3750163578,2.610526316,233,2020
38,CHF_JPY,2020-11-18 16:00:00,2020-11-18 20:00:00,114.1265,113.6542477,2021-01-15 20:00:00,116.637,time_exit,5.316014403,240,7.691863103,-0.8904138843,0.1,0.2,113.986,0.6733688828,0.8805031447,95,2020
39,AUD_USD,2020-11-19 12:00:00,2020-11-19 16:00:00,0.72714,0.7220786769,2021-01-18 16:00:00,0.76861,time_exit,8.193509689,240,10.83906297,-0.2627771374,0.8,0.2,0.7265,0.4188628054,0.5566037736,191,2020
40,AUD_CAD,2020-11-20 00:00:00,2020-11-20 04:00:00,0.95289,0.9480492932,2020-12-07 08:00:00,0.9479792932,stoploss,-1.014460698,68,7.676564916,-1.479122842,1.4,1.4,0.94995,0.2561609391,4.612903226,35,2020
41,AUD_NZD,2020-11-20 00:00:00,2020-11-20 04:00:00,1.0535,1.049691696,2020-11-24 00:00:00,1.049611696,stoploss,-1.021006725,12,7.354979686,-3.103743659,1.6,1.6,1.05229,0.2993458351,1.929824561,7,2020
42,GBP_AUD,2020-11-25 00:00:00,2020-11-25 04:00:00,1.81489,1.805045568,2020-11-27 16:00:00,1.804925568,stoploss,-1.012189632,16,1.007676221,-7.448880774,0.2,2.4,1.81412,0.3047407926,0.5066666667,1,2020
