trade_id,race_condition,mae_mfe_ratio_winners
357,-75.0,
358,-27.0,
359,25.0,
360,-31.0,
361,-39.0,
362,194.0,
363,-31.0,2.7657301
364,23.0,
365,15.0,0.5485673
366,228.0,
367,-105.0,
368,-239.0,0.0011205378
369,-230.0,0.019108279
370,-36.0,
371,128.0,4.376343
372,101.0,
373,67.0,
374,51.0,
375,26.0,
376,-36.0,0.29917112
377,-14.0,
378,-148.0,
379,-103.0,0.32709834
380,-81.0,
381,-50.0,
382,13.0,
383,-60.0,
384,-32.0,
385,38.0,
386,13.0,
387,-44.0,0.37188515
388,63.0,
389,36.0,
390,50.0,
391,-73.0,
392,101.0,
393,45.0,2.1985946
394,236.0,
395,-23.0,
396,41.0,
397,54.0,1.9266784
398,-9.0,
399,237.0,
400,234.0,
401,208.0,
402,25.0,
403,-34.0,
404,-23.0,
405,-232.0,0.054799095
406,-234.0,0.15138331
407,-238.0,0.006838365
408,-8.0,
409,24.0,
410,225.0,
411,-218.0,0.16679974
412,223.0,
413,-191.0,0.20288067
414,236.0,
415,-23.0,
416,239.0,
417,-34.0,0.26816908
418,-11.0,0.78947437
419,160.0,
420,233.0,
421,25.0,
422,-66.0,
423,115.0,
424,124.0,
425,113.0,
426,21.0,
427,-26.0,
428,-6.0,
429,223.0,
430,136.0,
431,73.0,
432,67.0,
433,235.0,
434,-3.0,
435,-235.0,0.050519094
436,35.0,
437,148.0,
438,22.0,0.5134673
439,-194.0,0.12756336
440,63.0,
441,-51.0,
442,-22.0,
443,-230.0,0.115678184
444,-159.0,
445,233.0,
446,-72.0,1.1776258
447,131.0,
448,64.0,
449,239.0,
450,164.0,
451,230.0,
452,21.0,
453,-31.0,
454,10.0,0.7617564
455,-126.0,
456,-51.0,0.42560574
457,236.0,
458,28.0,
459,-23.0,
460,202.0,
461,-60.0,
462,-25.0,
463,-232.0,0.18479519
464,-37.0,
465,-22.0,
466,-23.0,
467,121.0,
468,-39.0,
469,-75.0,
470,24.0,
471,-225.0,0.22424242
472,45.0,1.0758637
473,205.0,
474,-232.0,0.116685905
475,232.0,
476,233.0,
477,26.0,
478,-26.0,
479,-1.0,
480,232.0,
481,236.0,
482,216.0,
483,6.0,
484,224.0,
485,44.0,
486,-48.0,
487,-123.0,
488,-25.0,
489,-35.0,
490,-25.0,
491,238.0,
492,-237.0,0.06852497
493,187.0,
494,34.0,
495,-20.0,
496,47.0,
497,4.0,
498,12.0,
499,27.0,
500,33.0,
501,-239.0,0.016545838
502,234.0,
503,-238.0,0.081206836
504,237.0,
505,-12.0,
506,-240.0,0.00025043782
507,213.0,
508,231.0,
509,239.0,
510,-13.0,
511,-49.0,0.38519958
512,-31.0,
513,238.0,
514,-16.0,
515,-3.0,
516,33.0,0.8256975
517,-231.0,0.17426586
518,92.0,
519,12.0,
520,-234.0,0.03910615
521,44.0,
522,-192.0,0.13947976
523,-23.0,
524,225.0,
525,-13.0,
526,-29.0,
527,180.0,
528,-54.0,
529,-173.0,0.058601126
530,142.0,
531,118.0,1.4615384
532,-22.0,
533,118.0,
534,88.0,
535,-53.0,
536,107.0,
537,47.0,
538,104.0,
539,18.0,
540,-24.0,
541,34.0,
542,9.0,
543,44.0,
544,-45.0,
545,-33.0,
546,52.0,
547,50.0,
548,-231.0,0.15051644
549,-19.0,
550,-3.0,
551,-14.0,
552,-2.0,
553,65.0,
554,49.0,
555,77.0,
556,239.0,
557,240.0,
558,240.0,
559,72.0,
560,-13.0,
561,217.0,
562,-16.0,
563,47.0,
564,-22.0,
565,-19.0,
566,-223.0,0.14339767
567,-97.0,
568,-140.0,0.27093592
569,-43.0,
570,-56.0,
571,-22.0,
572,240.0,
573,9.0,
574,23.0,
575,231.0,
576,14.0,
577,-25.0,
578,-128.0,
579,-48.0,
580,-72.0,
581,-5.0,
582,-94.0,
583,-21.0,
584,-18.0,
585,-5.0,
586,198.0,
587,235.0,
588,224.0,
589,225.0,
590,229.0,
591,-5.0,
592,2.0,
593,3.0,
594,-7.0,
595,1.0,
596,-11.0,
597,-13.0,
598,-234.0,0.053892225
599,152.0,
600,-38.0,
601,168.0,
602,183.0,
603,239.0,
604,224.0,
605,227.0,
606,229.0,
607,93.0,
608,-43.0,
609,93.0,
610,-2.0,
611,-59.0,
612,-39.0,
613,-71.0,
614,69.0,
615,-58.0,0.94390947
616,-35.0,
617,-55.0,0.79478973
618,-224.0,0.087234765
619,-173.0,0.093306206
620,-63.0,0.7227309
621,-85.0,0.8436783
622,-202.0,0.059388928
623,43.0,
624,11.0,0.26319915
625,22.0,
626,-240.0,0.001008265
627,6.0,0.4296085
628,109.0,
629,-101.0,
630,-24.0,
631,-48.0,
632,-18.0,
633,34.0,
634,80.0,
635,-100.0,0.49673423
636,-25.0,
637,101.0,
638,70.0,
639,100.0,
640,-27.0,
641,69.0,
642,-13.0,
643,37.0,
644,115.0,
645,-214.0,0.1349997
646,-18.0,
647,230.0,
648,222.0,
649,-78.0,
650,26.0,
651,186.0,
652,-195.0,0.10076171
653,-166.0,
654,-185.0,0.019555327
655,22.0,
656,-230.0,0.050279338
657,-231.0,0.0008321795
658,236.0,1.7247802
659,-80.0,
660,-139.0,
661,-35.0,
662,-47.0,
663,111.0,
664,62.0,
665,102.0,
666,90.0,
667,228.0,
668,25.0,
669,233.0,
670,225.0,
671,-53.0,
672,-9.0,
673,233.0,
674,-229.0,0.058908395
675,19.0,
676,238.0,
677,28.0,
678,-16.0,
679,231.0,
680,-62.0,
681,-239.0,0.019792695
682,40.0,
683,-202.0,0.0824421
684,-97.0,
685,1.0,
686,-67.0,
687,-8.0,
688,-236.0,0.09041838
689,110.0,
690,94.0,
691,56.0,
692,-23.0,
693,-179.0,0.32745278
694,-236.0,0.11920563
695,-238.0,0.039207887
696,-218.0,0.22405416
697,-31.0,
698,-232.0,0.019972773
699,-40.0,
700,-239.0,0.014322937
701,-232.0,0.023020515
702,17.0,
703,-6.0,
704,-7.0,0.25289753
705,-224.0,0.074167594
706,11.0,0.47459263
707,-224.0,0.065827645
708,-236.0,0.002993415
709,-235.0,0.012434263
710,25.0,
711,162.0,
712,-229.0,0.14255753
713,23.0,
714,-236.0,0.0110262595
715,-239.0,0.010144961
716,-22.0,
717,-235.0,0.17579222
718,-236.0,0.074851096
719,-223.0,0.12892634
720,-133.0,
721,12.0,
722,-52.0,
723,224.0,
724,-9.0,
725,161.0,
726,-227.0,0.063102916
727,-226.0,0.10430942
728,-27.0,
729,147.0,
730,-239.0,0.091575086
731,-237.0,0.111728914
732,58.0,
733,5.0,
734,-10.0,
735,-18.0,
736,16.0,
737,-181.0,0.1034478
738,-226.0,0.13307741
739,-116.0,0.42242286
740,-18.0,
741,-84.0,
742,84.0,
743,-230.0,0.05424962
744,21.0,
745,1.0,3.5970085
746,-224.0,0.1457685
747,-232.0,0.018296199
748,71.0,
749,26.0,
750,221.0,
751,-26.0,
752,6.0,
753,-27.0,
754,-235.0,0.16826941
755,-21.0,
756,218.0,
757,-134.0,0.28853953
758,222.0,
759,49.0,
760,5.0,
761,-53.0,1.0485849
762,230.0,
763,-181.0,0.20866992
764,-221.0,0.03859728
765,-55.0,
766,-231.0,0.026660187
767,-22.0,
768,-23.0,
769,-17.0,
770,-22.0,
771,212.0,
772,53.0,
773,-236.0,0.035447348
774,46.0,
775,-224.0,0.10883685
776,-235.0,0.06864684
777,-231.0,0.020376157
778,46.0,
779,18.0,0.83197314
780,-43.0,
781,160.0,
782,-40.0,
783,-240.0,0.01781891
784,195.0,
785,21.0,
786,-236.0,0.15058807
787,34.0,
788,-240.0,0.02016614
789,-240.0,0.007735725
790,-240.0,0.005313845
791,224.0,
792,-73.0,
793,-23.0,
794,229.0,
795,-148.0,
796,226.0,
797,236.0,
798,238.0,
799,37.0,
800,41.0,
801,239.0,
802,33.0,
803,-93.0,
804,-28.0,
805,-71.0,0.46363145
806,-141.0,0.6062593
807,147.0,
808,29.0,
809,143.0,
810,-26.0,
811,-32.0,
812,214.0,
813,44.0,
814,-230.0,0.12279368
815,-136.0,
816,-225.0,0.17731987
817,4.0,
818,-238.0,0.037037086
819,39.0,
820,35.0,0.5809521
821,235.0,
822,31.0,2.258537
823,-25.0,
824,-22.0,
825,-190.0,0.18209837
826,23.0,
827,20.0,
828,30.0,
829,-223.0,0.073331594
830,-47.0,0.48296207
831,-98.0,0.3162884
832,-186.0,0.048674196
833,37.0,
834,21.0,0.36066407
835,23.0,
836,6.0,
837,-15.0,
838,-17.0,
839,96.0,
840,93.0,
841,126.0,
842,224.0,
843,224.0,
844,237.0,
845,25.0,
846,-1.0,
847,102.0,
848,-221.0,0.21496743
849,-52.0,0.6050712
850,-49.0,
851,53.0,
852,-39.0,
853,-195.0,0.18250349
854,-222.0,0.11975156
855,-93.0,
856,238.0,
857,232.0,
858,40.0,0.5358692
859,11.0,
860,237.0,
861,-21.0,
862,-13.0,
863,221.0,
864,-240.0,0.007793273
865,233.0,
866,236.0,
867,235.0,
868,-54.0,
869,-9.0,
870,228.0,
871,4.0,
872,-97.0,
873,238.0,
874,34.0,
875,238.0,
876,234.0,
877,235.0,
878,118.0,
879,-2.0,
880,-2.0,
881,230.0,
882,-219.0,0.06696555
883,239.0,
884,29.0,
885,28.0,
886,-112.0,
887,21.0,
888,238.0,
889,233.0,
890,-25.0,
891,-13.0,
892,-57.0,
893,-58.0,
894,-11.0,
895,24.0,
896,224.0,
897,25.0,
898,-189.0,0.037587345
899,-239.0,0.020463593
900,238.0,
901,-25.0,
902,236.0,
903,-49.0,
904,232.0,
905,-40.0,
906,-12.0,
907,-233.0,0.060939822
908,240.0,
909,240.0,
910,240.0,
911,239.0,
912,239.0,
913,240.0,
914,237.0,
915,-14.0,0.33756194
916,-46.0,
917,-136.0,
918,-45.0,
919,-112.0,0.8362262
920,44.0,
921,209.0,
922,-26.0,0.9517651
923,36.0,
924,-206.0,0.22907074
925,16.0,
926,-224.0,0.10035176
927,-224.0,0.28381577
928,-101.0,0.5109076
929,143.0,
930,-218.0,0.10779559
931,118.0,
932,-74.0,
933,-64.0,
934,-188.0,0.18498348
935,70.0,1.5069867
936,-238.0,0.17569289
937,66.0,
938,-48.0,2.375529
939,199.0,
940,-26.0,
941,66.0,
942,117.0,
943,-54.0,0.814014
944,-221.0,0.041296076
945,-233.0,0.11955086
946,73.0,
947,17.0,
948,-135.0,0.30992475
949,-75.0,0.22265728
950,219.0,
951,-93.0,0.3775214
952,220.0,
953,-226.0,0.22024769
954,-8.0,
955,-44.0,
956,-57.0,0.45515305
957,0.0,1.0814139
958,-49.0,
959,-58.0,0.39126515
960,-26.0,
961,236.0,
962,83.0,
963,92.0,
964,58.0,
965,82.0,
966,188.0,
967,77.0,
968,67.0,
969,50.0,
970,61.0,
971,-59.0,
972,63.0,
973,-75.0,0.657728
974,-215.0,0.03417535
975,238.0,
976,239.0,
977,235.0,
978,216.0,
979,-78.0,
