trade_id,pair,final_r,mfe_r,mae_r,bars_held,exit_reason,time_to_peak_mfe
268,AUD_USD,4.795336303,5.375050079,-0.3170036052,120,time_exit,120
269,GBP_CHF,2.848826513,4.624419996,-0.9550789345,120,time_exit,107
270,EUR_JPY,2.751682834,6.770857018,-0.02862077242,120,time_exit,79
283,CHF_JPY,2.028815112,3.699083262,-0.7716874934,120,time_exit,114
290,EUR_JPY,-1.001168559,2.14664266,-1.422136155,93,stoploss,79
291,GBP_AUD,-1.001775689,0.6108369624,-1.143543616,23,stoploss,14
297,GBP_AUD,-1.048301164,0.20271852,-1.395610894,32,stoploss,17
305,EUR_CHF,-1.002635462,0.9619437037,-1.056820343,19,stoploss,12
309,AUD_NZD,4.400241333,5.224135892,-0.05063039191,120,time_exit,113
311,GBP_CHF,6.398508369,7.491982513,-0.4900724457,120,time_exit,111
312,USD_JPY,1.005768935,3.994028261,-0.4320812392,120,time_exit,96
319,GBP_AUD,7.130672419,9.090697009,-0.6780354123,120,time_exit,64
327,USD_CHF,3.286716517,3.697284542,-0.5517686684,120,time_exit,117
331,EUR_USD,-1.001648532,2.510714443,-1.501812776,56,stoploss,37
332,CHF_JPY,-1.003028405,1.630796213,-1.542972461,37,stoploss,31
336,GBP_CHF,-1.001486838,0.8549316228,-1.925454698,20,stoploss,18
337,GBP_CHF,-1.005187784,1.971358005,-1.281382703,115,stoploss,73
338,CHF_JPY,0.5860566179,2.417818056,-0.9111976183,120,time_exit,89
341,USD_JPY,-1.001540226,4.620679133,-1.136687067,106,stoploss,68
344,GBP_AUD,3.834468689,5.731814711,-0.01988832308,120,time_exit,101
346,EUR_USD,4.394374342,6.513157213,-0.8381793032,120,time_exit,99
353,EUR_AUD,3.737016984,4.82051964,-0.4300111933,120,time_exit,111
363,CAD_JPY,3.59291112,4.752699586,-0.6386946969,120,time_exit,114
377,AUD_CHF,6.019921627,6.932840155,-0.1668955261,120,time_exit,114
378,AUD_JPY,5.756496904,6.698886527,-0.02984425115,120,time_exit,69
379,CAD_CHF,2.738787578,5.763225207,-0.1946187162,120,time_exit,43
382,NZD_JPY,2.083312461,3.445528727,-0.2228842784,120,time_exit,66
383,AUD_NZD,5.97722561,6.729137749,-0.3483542314,120,time_exit,111
385,EUR_JPY,-1.001456885,1.516617615,-1.003793983,28,stoploss,20
388,EUR_AUD,-1.002640597,0.5554056571,-1.035994387,14,stoploss,10
390,EUR_USD,-1.001709228,0.5657546252,-1.058012426,20,stoploss,14
391,CHF_JPY,1.939517112,3.617474741,-0.02294381442,120,time_exit,54
392,EUR_CHF,-1.008184345,0.2646271515,-1.394066747,10,stoploss,7
405,EUR_CAD,5.870663433,6.533107338,-0.6254487825,120,time_exit,118
418,AUD_CAD,4.763604248,5.293474608,-0.2875941094,120,time_exit,118
419,GBP_AUD,1.154692769,3.415299734,-0.4901846727,120,time_exit,94
420,GBP_CAD,5.266465544,6.445450746,-0.08622676583,120,time_exit,105
421,GBP_NZD,2.368033728,4.555638463,-0.7178441025,120,time_exit,108
422,USD_CHF,1.817799155,3.928997472,-0.565537515,120,time_exit,115
426,USD_JPY,0.6509255131,2.816434692,-0.998207002,120,time_exit,100
433,CAD_CHF,-1.002285373,1.373509444,-1.533485586,18,stoploss,11
434,EUR_GBP,-1.002813574,0.3573239611,-1.48275376,11,stoploss,8
437,AUD_CHF,-1.014690409,0.7743943912,-1.189923089,22,stoploss,16
438,CAD_JPY,-1.005454938,0.6582291334,-1.010981763,22,stoploss,15
440,CAD_CHF,-1.006095019,0.6298186775,-1.214940546,18,stoploss,14
450,EUR_NZD,-1.015484201,0.7518440019,-1.135508104,28,stoploss,26
453,EUR_GBP,-1.002776578,1.541000632,-2.596100165,27,stoploss,21
