month,n,win_rate,mean_r,total_r,expected_n_if_uniform,n_over_expected
1,238,0.6890756302521008,0.36416630080414597,86.67157959138675,262.6666666666667,0.9060913705583755
2,261,0.6781609195402298,0.38272767172151045,99.89192231931423,262.6666666666667,0.9936548223350253
3,263,0.714828897338403,0.3808641096713695,100.16726084357019,262.6666666666667,1.001269035532995
4,296,0.7297297297297297,0.4766098358170249,141.07651140183935,262.6666666666667,1.1269035532994922
5,254,0.6771653543307087,0.3709102630500533,94.21120681471353,262.6666666666667,0.9670050761421319
6,273,0.684981684981685,0.38358915875292204,104.71984033954772,262.6666666666667,1.0393401015228425
7,271,0.6678966789667896,0.28846005117120693,78.17267386739708,262.6666666666667,1.031725888324873
8,276,0.7463768115942029,0.4883702287813133,134.79018314364248,262.6666666666667,1.0507614213197969
9,262,0.7709923664122137,0.5167712644125845,135.39407127609712,262.6666666666667,0.9974619289340101
10,286,0.7552447552447552,0.47885645728179904,136.95294678259452,262.6666666666667,1.0888324873096447
11,251,0.7091633466135459,0.4425570108165622,111.0818097149571,262.6666666666667,0.9555837563451776
12,221,0.7330316742081447,0.4300521728084923,95.0415301906768,262.6666666666667,0.8413705583756345
