day,n_bars,n_open,n_closes,n_sl_closes,dd_daystart_pct,dd_dayhigh_pct,dd_cons_daystart_pct,realized_drop_pct,floating_drop_pct,total_drop_pct,dominant_ccy
2010-02-01,4,1,0,0,0.08843607119351336,0.08843607119351336,0.15160469347460226,-0.0,0.08843607119352301,0.08843607119352301,AUD
2010-02-02,6,1,1,1,0.49281526918216517,0.526933502653915,0.49281526918216517,-0.0,0.4928152691821608,0.4928152691821608,AUD
2010-02-03,6,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.0,AUD
2010-02-04,6,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.0,AUD
2010-02-05,6,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.0,AUD
2010-02-06,1,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.0,AUD
2010-02-08,6,1,0,0,0.2107154490714406,0.2107154490714406,0.24635885836711452,-0.0,0.2107154490714456,0.21071544907144557,CHF
2010-02-09,6,2,0,0,0.15119173124012167,0.17110650634196567,0.2789501832916401,-0.0,0.15119173124011623,0.15119173124011617,CHF
2010-02-10,6,2,0,0,0.2703533794046564,0.45188180531424677,0.38109383233008803,-0.0,0.2703533794046482,0.27035337940464815,GBP
2010-02-11,6,4,1,1,0.4067774098994258,0.4067774098994258,0.5692763054709726,0.5048952167402817,-0.09811780684085276,0.4067774098994289,CHF
2010-02-12,6,5,0,0,0.004751967257332878,0.13233451257898945,0.9940945782620272,-0.0,0.004751967257331296,0.004751967257331309,GBP
2010-02-15,6,5,0,0,0.22184910710469846,0.22184910710469846,1.192534923810945,-0.0,0.2218491071046947,0.22184910710469477,CHF
2010-02-16,6,5,0,0,0.4564645811743229,0.4564645811743229,1.4180867471572642,-0.0,0.4564645811743283,0.45646458117432837,CHF
2010-02-17,6,5,0,0,0.19639573624135204,0.2771300496610988,1.246967350287169,-0.0,0.1963957362413529,0.19639573624135295,CHF
2010-02-18,6,5,1,1,0.24483623076004138,0.39347418713842947,1.2261973851986903,-0.0,0.24483623076004737,0.24483623076004724,CHF
2010-02-19,6,5,0,0,0.7149940431459655,0.7149940431459655,1.5570544204925723,0.5077540783475464,0.20723996479841406,0.7149940431459606,CHF
2010-02-20,1,3,0,0,0.0,0.0,0.84812441640235,-0.0,-0.0024816613484539016,-0.0024816613484536744,CHF
2010-02-22,6,5,0,0,0.08492887146962519,0.1782893861175888,0.6859293668645327,-0.0,0.084928871469622,0.084928871469622,CHF
2010-02-23,6,6,1,1,0.05013813397178806,0.48566203390793505,0.8043030060322292,-0.0,0.05013813397178568,0.050138133971785334,CHF
2010-02-24,6,6,0,0,0.44378495718779304,0.44378495718779304,1.3226408542486527,-0.0,0.443784957187802,0.44378495718780214,CHF
2010-02-25,6,6,2,2,0.2807767080951455,0.39239412299080856,0.9781444993225805,-0.0,0.2807767080951376,0.2807767080951373,CHF
