rank,peak_ts,trough_ts,depth_pct,n_open_at_trough,dominant_ccy,trades_at_trough
1,2010-04-30 13:00,2010-05-17 01:00,9.223767475927746,7,CHF,"48,52,57,58,59,60,62"
2,2011-03-07 06:00,2011-03-17 02:00,7.0557438403988995,10,AUD,"222,223,224,226,228,229,230,231"
3,2010-07-28 05:00,2010-09-09 05:00,6.082962477622221,9,EUR,"106,118,120,121,123,125,128,129"
4,2010-11-04 10:00,2010-12-30 02:00,5.648748864665294,19,JPY,"171,174,179,181,182,185,188,189"
5,2011-07-04 21:00,2011-07-18 13:00,4.2428363372984785,14,CAD,"272,274,275,278,289,294,295,296"
