trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
535,2,-1,0.2727675804,0.5455351608,0,0,1,1,43,35
548,2,-1,1.854602428,3.709204856,1,0,0.7142857143,1,25,9
550,2,-1,0.6540725787,1.308145157,0,0,0.4545454545,1,17,13
551,2,-1,0.6008498573,1.201699715,0,0,0.5555555556,1,23,20
556,2,-1,0.7958294383,1.591658877,0,0,0.5,1,25,22
571,2,4.200377096,6.181272424,12.36254485,1,0,0.5294117647,0,240,222
575,2,-1,0.8728153629,1.745630726,0,0,0.5333333333,1,44,19
582,2,1.38894429,3.590003548,7.180007096,1,0,0.5641025641,0,240,39
613,2,2.253256444,4.554109765,9.10821953,1,0,0.5512195122,0,240,209
617,2,-1,0.9560909533,1.912181907,0,0,0.75,1,11,6
623,2,-1,0.3960116607,0.7920233214,0,0,0.6,1,12,9
624,2,-1,1.541365241,3.082730482,1,0,0.6170212766,1,88,62
648,2,3.738627994,4.359269795,8.71853959,1,0,0.5302325581,0,240,216
658,2,6.988976596,10.5253778,21.0507556,1,0,0.5555555556,0,240,207
668,2,-1,0.3187069904,0.6374139808,0,0,0.5454545455,1,37,23
672,2,-1,1.063304398,2.126608796,1,0,0.7142857143,1,13,10
695,2,-1,1.277222173,2.554444346,1,0,0.4571428571,1,51,43
696,2,-1,1.390489563,2.780979126,1,0,0.5416666667,1,50,37
705,2,-1,1.679088235,3.35817647,1,0,0.7142857143,1,46,21
709,2,-1,0.3934923086,0.7869846172,0,0,0.6428571429,1,32,29
710,2,-1,3.547660108,7.095320216,1,0,0.4827586207,1,102,65
716,2,-1,2.395792018,4.791584036,1,0,0.4711538462,1,114,107
718,2,12.48893021,12.71718742,25.43437484,1,0,0.5086206897,0,240,237
723,2,-1,1.186735712,2.373471424,1,0,1,1,12,8
724,2,2.156680894,2.732093169,5.464186338,1,0,0.5376884422,0,240,202
730,2,-1,0.3414265235,0.682853047,0,0,0.6666666667,1,9,7
732,2,-1,0.5273503965,1.054700793,0,0,0.5,1,8,4
