fold,is_start,is_end,oos_start,oos_end,is_train_count,n_oos_signals,n_admitted,n_d1_rejected,n_traded,hit_rate,mean_r,std_r,total_r,sharpe_r,starting_balance,ending_balance,roi_pct,max_dd_pct,max_dd_r,n_pairs_active,skipped,skip_reason
1,2019-01-01,2020-10-01,2020-10-01,2021-07-01,0,190,0,0,0,,,,0,,10000,10000,0,0,0,0,1,IS train count 0 < 30 or OOS empty
2,2019-01-01,2021-07-01,2021-07-01,2022-04-01,23,194,0,0,0,,,,0,,10000,10000,0,0,0,0,1,IS train count 23 < 30 or OOS empty
3,2019-01-01,2022-04-01,2022-04-01,2023-01-01,44,188,164,0,164,0.292683,0.0228971,1.78679,3.75512,0.0128146,10000,10124.2,1.24169,15.5774,33.6738,28,0,
4,2019-01-01,2023-01-01,2023-01-01,2023-10-01,68,184,141,0,141,0.248227,-0.195138,1.53083,-27.5145,-0.127472,10000,8678.72,-13.2128,14.656,31.5144,28,0,
5,2019-01-01,2023-10-01,2023-10-01,2024-07-01,93,188,158,0,158,0.360759,0.310331,1.91703,49.0324,0.161882,10000,12685,26.8502,7.29966,15.1027,28,0,
6,2019-01-01,2024-07-01,2024-07-01,2025-04-01,134,181,128,0,128,0.28125,-0.168916,1.48795,-21.6213,-0.113523,10000,8943.67,-10.5633,14.0767,30.1764,28,0,
7,2019-01-01,2025-04-01,2025-04-01,2026-01-01,155,202,160,0,160,0.3625,0.0717172,1.62767,11.4747,0.0440613,10000,10535.4,5.35359,8.18185,16.9671,28,0,
