percentile,fwd_mfe_h240_R,final_r
1,1.3131297826766968,-0.1226653426885605
5,2.1133928298950195,0.11914429813623428
10,2.4487133026123047,0.3992961049079895
20,3.28865122795105,1.049430251121521
30,4.132467746734619,1.5969173908233643
40,4.505032539367676,1.8379316329956055
50,5.134607315063477,2.299487352371216
60,5.686175346374512,2.4991960525512695
70,6.587388515472412,2.9858827590942383
80,7.879756450653076,3.87650465965271
90,10.724308967590332,4.602458477020264
95,14.071670532226562,5.700380325317383
99,16.60968551635742,8.701624584197994
