percentile,fwd_mfe_h240_R,final_r
1,0.2365404862165451,-1.5188340950012207
5,0.4332015931606293,-1.2088462829589843
10,0.4896087408065797,-1.0617078065872192
20,0.990102005004883,-0.9498615026473999
30,1.7896411180496214,-0.7847821950912476
40,2.6190432071685796,-0.5903976082801816
50,3.0616979598999023,-0.3399779796600342
60,3.928188371658325,-0.14904642999172218
70,4.458448791503905,0.02528558187186717
80,5.59725561141968,0.26095243096351645
90,8.053483676910398,0.7857703328132627
95,9.187057113647453,1.0067039728164673
99,10.741444129943847,1.357664947509765
