percentile,fwd_mfe_h240_R,final_r
1,0.2372861769795418,-1.5184177589416503
5,0.4249222666025162,-1.2071329534053803
10,0.46719276905059814,-1.0657154679298402
20,0.9241939306259157,-0.9602961301803589
30,1.7280388832092284,-0.7928462266921997
40,2.4964556217193605,-0.6227561712265013
50,2.879025936126709,-0.3896091431379318
60,3.8779485702514647,-0.16739465296268485
70,4.367115402221679,0.02491701785475015
80,5.369749641418458,0.25559562146663684
90,7.210498762130738,0.7754349350929263
95,8.768099451065062,0.9808853179216382
99,10.58077649116516,1.354989815950392
