trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,n_swing_lows,most_recent_sl_lag,atr14_at_signal,time_to_peak_mfe,calendar_year
26,GBP_NZD,2020-10-16 08:00:00,2020-10-16 12:00:00,1.95843,1.94564024,2020-10-26 08:00:00,1.94540024,stoploss,-1.018765012,36,1.66539482,-8.315245968,4.8,4.8,1.93434,3,12,0.006394879984,21,2020
27,EUR_JPY,2020-10-16 12:00:00,2020-10-16 16:00:00,123.623,123.0549387,2020-10-27 20:00:00,123.0499387,stoploss,-1.008801867,44,5.483563051,-3.533069356,1.4,1,123.015,1,5,0.2840306541,12,2020
28,USD_JPY,2020-10-16 12:00:00,2020-10-16 16:00:00,105.363,105.0369141,2020-10-21 08:00:00,105.0339141,stoploss,-1.009200029,17,1.174537067,-6.709887999,0.6,0.6,105.035,2,11,0.1630429599,11,2020
29,NZD_CHF,2020-10-16 16:00:00,2020-10-16 20:00:00,0.605185,0.6013075523,2020-10-19 20:00:00,0.6012225523,stoploss,-1.021921637,7,8.689994757,-2.652518061,1.7,1.7,0.60127,2,7,0.00193872384,3,2020
30,AUD_JPY,2020-10-19 00:00:00,2020-10-19 04:00:00,74.8585,74.29672073,2020-10-20 04:00:00,74.29272073,stoploss,-1.007120234,7,6.976939567,-3.069711005,0.9,0.8,74.252,2,8,0.2808896338,2,2020
31,AUD_USD,2020-10-19 00:00:00,2020-10-19 04:00:00,0.71038,0.7054968447,2020-10-20 00:00:00,0.7054468447,stoploss,-1.010239281,6,9.583967114,-2.312029673,1,1,0.7056,2,8,0.00244157766,2,2020
32,CAD_JPY,2020-10-19 00:00:00,2020-10-19 04:00:00,80.009,79.60275466,2020-10-21 16:00:00,79.59675466,stoploss,-1.0147694,16,5.193905788,-5.159443854,1.2,1.2,79.443,3,8,0.2031226678,9,2020
33,GBP_USD,2020-10-19 00:00:00,2020-10-19 04:00:00,1.2942,1.284106799,2020-12-14 04:00:00,1.331785,time_exit,3.723793834,240,5.921808101,-0.8768278684,0.8,0.9,1.28625,2,16,0.005046600547,207,2020
34,NZD_JPY,2020-10-19 08:00:00,2020-10-19 12:00:00,69.868,69.40688164,2020-10-20 04:00:00,69.40188164,stoploss,-1.010843203,5,9.04106277,-2.153460142,1,1,69.208,2,10,0.2305591779,1,2020
35,NZD_USD,2020-10-19 08:00:00,2020-10-19 12:00:00,0.663315,0.6592764302,2020-10-20 00:00:00,0.6592214302,stoploss,-1.013618683,4,12.05005802,-1.992041853,1.1,1.1,0.6576,3,6,0.002019284882,1,2020
36,EUR_CAD,2020-10-19 20:00:00,2020-10-20 00:00:00,1.55244,1.545909252,2020-11-02 12:00:00,1.545819252,stoploss,-1.013780964,58,2.858784431,-3.235464114,1.8,1.8,1.53889,2,20,0.003265373877,45,2020
37,CHF_JPY,2020-10-20 00:00:00,2020-10-20 04:00:00,116.013,115.5017339,2020-10-21 16:00:00,115.4907339,stoploss,-1.021515215,10,3.415051344,-4.512327291,2.2,2.2,114.859,3,4,0.2556330526,3,2020
38,EUR_GBP,2020-10-20 04:00:00,2020-10-20 08:00:00,0.90978,0.904334553,2020-10-21 16:00:00,0.904294553,stoploss,-1.007345586,9,2.42220703,-4.348586995,0.8,0.8,0.90067,5,5,0.002722723499,3,2020
39,GBP_JPY,2020-10-20 08:00:00,2020-10-20 12:00:00,136.823,135.8339983,2020-10-28 08:00:00,135.8219983,stoploss,-1.012133447,36,3.92719249,-2.449945264,2,2.4,135.337,2,11,0.4945008437,7,2020
40,EUR_USD,2020-10-21 04:00:00,2020-10-21 08:00:00,1.184775,1.180036835,2020-10-23 00:00:00,1.180001835,stoploss,-1.007386825,11,7.696016751,-5.188717176,0.7,0.7,1.16882,4,5,0.002369082681,2,2020
41,CAD_CHF,2020-10-22 08:00:00,2020-10-22 12:00:00,0.690005,0.6866673329,2020-10-26 16:00:00,0.6865923329,stoploss,-1.022470785,14,4.486666696,-2.482272693,1.5,1.5,0.68792,2,11,0.00166883357,3,2020
42,AUD_CHF,2020-10-22 16:00:00,2020-10-22 20:00:00,0.645615,0.6414106548,2020-10-28 16:00:00,0.6413406548,stoploss,-1.016649442,24,7.029632079,-1.306981163,1.5,1.4,0.63708,3,12,0.002102172608,21,2020
43,AUD_JPY,2020-10-22 16:00:00,2020-10-22 20:00:00,74.587,74.10244215,2020-10-28 08:00:00,74.09794215,stoploss,-1.009286817,22,8.737862862,-2.99861,0.8,0.9,74.2,3,7,0.2422789226,10,2020
44,NZD_USD,2020-10-22 16:00:00,2020-10-22 20:00:00,0.668155,0.6635585678,2020-10-28 16:00:00,0.6635035678,stoploss,-1.011965803,24,10.65717891,-2.015693836,1.1,1.1,0.65527,3,13,0.002298216087,17,2020
45,AUD_CAD,2020-10-23 00:00:00,2020-10-23 04:00:00,0.936645,0.9317621702,2020-11-03 00:00:00,0.9316671702,stoploss,-1.019455931,42,7.093222846,-1.38751508,1.9,1.9,0.92473,2,12,0.002441414908,19,2020
