percentile,fwd_mfe_h240_R,final_r
1,0.06382476180791855,-1.9453500986099244
5,0.17887860536575317,-1.5362683057785034
10,0.30183069705963134,-1.4104430198669433
20,0.7089480280876161,-1.1958770513534545
30,1.12495596408844,-1.0892827272415162
40,1.8448800325393677,-1.0240643978118895
50,2.6747701168060303,-0.9714189171791077
60,3.3542059898376464,-0.8903108358383178
70,4.239655971527099,-0.77651104927063
80,5.600819873809816,-0.7097265601158141
90,7.345879936218261,-0.4691617727279664
95,8.51350975036621,-0.27989243865013164
99,10.586916236877444,0.5243937993049622
