percentile,fwd_mfe_h240_R,final_r
1,1.9990625953674317,-2.484536406993866
5,3.067385733127594,-0.9054813206195826
10,3.545783543586731,0.4087345123291018
20,4.408212184906006,1.6068536043167116
30,5.050779914855957,2.440132737159729
40,5.694250011444092,3.043235111236573
50,6.317775011062622,3.6431920528411865
60,7.005199813842774,4.465762805938721
70,7.926604795455932,5.182298803329467
80,8.975369834899906,6.203381156921389
90,10.833809661865233,7.712359809875488
95,12.120574808120722,9.173105192184442
99,16.89401460647581,12.058222513198851
