view,K,existing_cluster,is_dual_gate_passing,archetype_id,overlap_pct,n_in_existing,pct_from_existing_0,pct_from_existing_1,pct_from_existing_2,pct_from_existing_-2,is_majority_from_passing_cluster
forward,3,-2,False,1,1.0,112,,,,,False
forward,3,0,False,2,0.84992784992785,693,,,,,False
forward,3,1,False,2,0.508140531276778,2334,,,,,False
forward,3,2,True,0,0.7540983606557377,854,,,,,False
inverse,3,-999,False,0,,772,0.133419689119171,0.03238341968911917,0.8341968911917098,0.0,True
inverse,3,-999,False,1,,1236,0.0008090614886731392,0.9085760517799353,0.0,0.09061488673139159,False
inverse,3,-999,False,2,,1985,0.29672544080604535,0.5974811083123426,0.10579345088161209,0.0,False
forward,4,-2,False,3,1.0,112,,,,,False
forward,4,0,False,1,0.7171717171717171,693,,,,,False
forward,4,1,False,3,0.45715509854327335,2334,,,,,False
forward,4,2,True,2,0.7377049180327869,854,,,,,False
inverse,4,-999,False,0,,310,0.3,0.5741935483870968,0.12580645161290321,0.0,False
inverse,4,-999,False,1,,1739,0.28579643473260496,0.6078205865439908,0.10638297872340426,0.0,False
inverse,4,-999,False,2,,765,0.134640522875817,0.04183006535947712,0.8235294117647058,0.0,True
inverse,4,-999,False,3,,1179,0.0,0.9050042408821035,0.0,0.09499575911789652,False
forward,5,-2,False,0,1.0,112,,,,,False
forward,5,0,False,4,0.5685425685425686,693,,,,,False
forward,5,1,False,0,0.42930591259640105,2334,,,,,False
forward,5,2,True,1,0.6627634660421545,854,,,,,False
inverse,5,-999,False,0,,1114,0.0,0.8994614003590664,0.0,0.10053859964093358,False
inverse,5,-999,False,1,,621,0.07890499194847021,0.00966183574879227,0.9114331723027376,0.0,True
inverse,5,-999,False,2,,822,0.22384428223844283,0.6009732360097324,0.17518248175182483,0.0,False
inverse,5,-999,False,3,,195,0.3384615384615385,0.5641025641025641,0.09743589743589744,0.0,False
inverse,5,-999,False,4,,1241,0.3174858984689766,0.5817888799355359,0.10072522159548751,0.0,False
forward,6,-2,False,0,1.0,112,,,,,False
forward,6,0,False,1,0.5180375180375181,693,,,,,False
forward,6,1,False,0,0.4297343616109683,2334,,,,,False
forward,6,2,True,2,0.6522248243559718,854,,,,,False
inverse,6,-999,False,0,,1115,0.0,0.8995515695067264,0.0,0.10044843049327354,False
inverse,6,-999,False,1,,1151,0.31190269331016507,0.5925282363162467,0.09556907037358818,0.0,False
inverse,6,-999,False,2,,604,0.06788079470198675,0.009933774834437087,0.9221854304635762,0.0,True
inverse,6,-999,False,3,,54,0.35185185185185186,0.5925925925925926,0.05555555555555555,0.0,False
inverse,6,-999,False,4,,349,0.2808022922636103,0.5644699140401146,0.15472779369627507,0.0,False
inverse,6,-999,False,5,,720,0.24444444444444444,0.575,0.18055555555555555,0.0,False
forward,7,-2,False,6,1.0,112,,,,,False
forward,7,0,False,5,0.4531024531024531,693,,,,,False
forward,7,1,False,6,0.3607540702656384,2334,,,,,False
forward,7,2,True,2,0.6346604215456675,854,,,,,False
inverse,7,-999,False,0,,762,0.2782152230971129,0.49868766404199477,0.2230971128608924,0.0,False
inverse,7,-999,False,1,,205,0.0,1.0,0.0,0.0,False
inverse,7,-999,False,2,,585,0.06324786324786325,0.010256410256410256,0.9264957264957265,0.0,True
inverse,7,-999,False,3,,84,0.35714285714285715,0.5476190476190477,0.09523809523809523,0.0,False
inverse,7,-999,False,4,,345,0.2898550724637681,0.5507246376811594,0.15942028985507245,0.0,False
inverse,7,-999,False,5,,1058,0.29678638941398866,0.6285444234404537,0.07466918714555766,0.0,False
inverse,7,-999,False,6,,954,0.0,0.8825995807127882,0.0,0.11740041928721175,False
