feature,auc,ks_stat,ks_pvalue,cohen_d,mean_pos,mean_neg,n
d1_ema_50_slope_at_entry,0.5326327275420206,0.04894720787620688,6.759183045163312e-287,0.11428800587528953,0.004656812143675398,0.0018918445313372068,1033074
atr_ratio_14_200,0.5283676981641913,0.04472887312464935,1.2561957187287898e-239,0.10074523496030233,1.0147866369881335,0.9946273901759137,1033074
w_ema_20_slope,0.5274665281729232,0.04881829804835802,2.1757011789168323e-285,0.09839858196663079,0.0069242909630039574,0.0037378410545391393,1033074
realised_vol_20,0.4741262098589638,0.03798585266430887,6.3606877259690605e-173,0.06648657982429462,0.0010105480946885107,0.0009734333814307791,1033074
atr_14,0.5249686472476791,0.052053735379386956,0.0,0.07474719344476226,0.06124180176088609,0.053384551821797334,1033074
atr_percentile_200,0.5245793830401888,0.03755171166937288,5.309240490398992e-169,0.08563183644871601,0.5071239070712262,0.48043214582636207,1033074
d1_ema_stack_up,0.5236952411838357,0.047390482367671294,5.896756359409381e-269,0.09642821118031242,0.4495065376873046,0.40211605531963335,1033074
d1_close_above_ema_50,0.5224214704208752,0.04484294084175011,7.532873433252449e-241,0.08989118940795489,0.5673011619156005,0.5224582210738503,1033074
atr_50,0.5218710107058212,0.05175081143111593,1.1176e-320,0.07305095988234481,0.060922381482305596,0.05342093901254483,1033074
atr_ratio_14_50,0.5215450879243233,0.03529229822708846,2.543145378162393e-149,0.077606700238065,1.00251401102188,0.9938954917615896,1033074
cross_tf_trend_alignment,0.5212493721818066,0.030722843077271078,2.96589626414033e-113,0.07834227264129781,1.6361656173326726,1.5617953237960207,1033074
d1_momentum_20_atr,0.5202451426244747,0.03578453820814442,1.6668987613593968e-153,0.07019492928062107,0.2765997205133712,0.1015097887988424,1033074
d1_atr_percentile_60,0.5185093573953702,0.0311473096427618,2.1497133156489194e-116,0.06517505650598299,0.4746354864565551,0.4530120613543352,1033074
atr_200,0.517640523153871,0.05250861941317375,0.0,0.07220659006781567,0.06060399938844155,0.05336498340054827,1033074
atr_percentile_60,0.517251144819162,0.026277312441147838,5.828463443068385e-83,0.06010969052508031,0.49582458888338216,0.4765864377895604,1033074
ema_200_slope,0.5164157684658423,0.02902197282312191,4.177930874188219e-101,0.06390363124308357,0.0009659709953731402,0.00026804640511619236,1033074
h4_ema_50_slope_at_entry,0.5162693418653621,0.028742838584866204,3.536794312240782e-99,0.06334766177997636,0.0009613504764382319,0.00026976133852754696,1033074
h4_ema_stack_up,0.5150037286937978,0.030007457387595804,4.637567196340786e-108,0.06180228189318217,0.406382887595832,0.37637543020823633,1033074
d1_range_compression_20,0.5149925740545198,0.02529044661438712,7.064910168424566e-77,0.053147425180024216,1.02570732069629,1.0037419317492828,1033074
d1_momentum_5_atr,0.5135477580794583,0.024058919153830627,1.3005432292341584e-69,0.04743896306736205,0.08226657037464843,0.020213037027772923,1033074
d1_higher_lows_5,0.5132621298469736,0.022404305018095316,2.0132844834050838e-60,0.04638336065782533,2.6197066759668863,2.5640146405914193,1033074
d1_atr_percentile_20,0.5130070333472009,0.02441073358151047,1.1904701918944727e-71,0.045480749281872714,0.47598065309568827,0.4602477240503796,1033074
d1_swing_state,0.5118573396826697,0.01903247025249888,1.0105213286742472e-43,0.04065431554238207,2.336563935950856,2.276940838533779,1033074
session_marker,0.5115007750305223,0.023079154522286593,4.3135940477563375e-64,-0.040376110676372784,1.1708854176226926,1.2159866703003668,1033074
cross_tf_trend_strong_up,0.5113118609864332,0.02262372197286644,1.3271335507805024e-61,0.05819855428246834,0.2046904923609709,0.18206677038810445,1033074
ema_50_above_200,0.510883079928722,0.021766159857443845,4.712154713751081e-57,0.04356381547128844,0.5356069922967259,0.5138408324392821,1033074
d1_higher_highs_5,0.5107039227099759,0.013596279202070627,1.6045246342802893e-22,0.04288146035566483,2.537356902047884,2.485882040437562,1033074
d1_atr_14_normalised,0.48995746267763923,0.024971327260265075,5.84085733659978e-75,0.027956913778701235,0.008213210493385418,0.008134921088286938,1033074
hour_of_week,0.5098747222144915,0.019612603579108323,2.112521805327871e-46,-0.0342170982174937,58.47352802608956,59.657606564578096,1033074
day_of_week,0.5094311930192887,0.014789056071037116,1.4409317589438624e-26,-0.03334041164592171,1.9592258790849073,2.006338276775252,1033074
atr_percentile_20,0.5090721447686174,0.01371178071754997,6.735354798448847e-23,0.031554858271751474,0.49056456004454313,0.4800954306222021,1033074
ema_50_slope,0.5073276833696828,0.016947345726689766,9.369273594662763e-35,0.023362633649927363,0.00020969261597435264,7.765246566936255e-05,1033074
ema_spread_20_50_atr,0.5067311997236476,0.012801339495684627,5.169452551422123e-20,0.02530103069770747,0.06159725781942718,0.033690245675442786,1033074
range_compression_20,0.5055368733952862,0.009267736310360264,1.0816467961734907e-10,-0.01445605006812645,1.0053241842922167,1.0134546291344027,1033074
di_plus_14,0.5053776636809227,0.008462539950523373,5.500712822835392e-09,0.021093384729866497,19.51526134540102,19.36877227743806,1033074
d1_realised_vol_20,0.49531800667421305,0.011957775979629104,1.6208633474506253e-17,0.007279072350141921,0.004816526752072313,0.004802025829468681,1033074
position_in_range_60,0.5045668608258692,0.00902630056988818,3.6474703523174145e-10,0.01568070075152147,0.5217631048416134,0.5171170127769931,1033074
prev_3_body_ratio_mean,0.504403030864572,0.006554937597646027,1.4651121426884023e-05,0.01647669886564964,0.4430389891169856,0.44057896114727724,1032713
close_in_bar,0.5036354549732032,0.005989770198579936,0.00010286855486169726,-0.012396892903331687,0.50679127226101,0.5104729627398926,1032961
adx_14,0.5036316578109539,0.007310034285886502,8.186581903633816e-07,-0.014561902226466885,25.00950774098408,25.159606524758843,1033074
ema_20_above_50,0.5032634307093402,0.006526861418680363,1.6156706467544318e-05,0.013059340366825106,0.5199801758475743,0.5134533144288939,1033074
di_minus_14,0.5031114498085003,0.00572872743771935,0.00023851524866590998,0.012140843419290703,21.210529855057484,21.125035806151555,1033074
ema_20_slope,0.5030330100219953,0.010832754183976667,1.8803559534612278e-14,0.007616974135898618,6.324453351173692e-05,3.529577624827054e-05,1033074
prev_3_body_size_atr_mean,0.5029692417253078,0.005256242441282366,0.0009951765295228992,0.01131994458533275,0.4696558326012798,0.46660084842105554,1033074
dxy_proxy_ema_20_slope,0.4972066492534939,0.008042122927759743,3.71334492415323e-08,0.002436307234276702,7.997313391672604e-05,6.525234583077972e-05,1033074
d1_h4_slope_agreement,0.5022014055025409,0.004402811005081775,0.00962157276827395,-0.008854707028881605,0.5488475681761168,0.5532503791811986,1033074
range_compression_60,0.4985165724566378,0.004797658106299674,0.0035400260501223164,0.0015294887903000676,1.004706606314873,1.0038184623797066,1033074
position_in_range_20,0.5013944105361541,0.004374153675265335,0.010311267978151193,0.005030272353710876,0.519863707528536,0.5183851672481885,1033074
body_ratio,0.5013597209327194,0.003005795585780069,0.1660888863353458,0.004712260130576061,0.44198590077455724,0.4407716495197129,1032961
body_size_atr,0.5010249400944448,0.0026831659053043744,0.27465198263342727,-0.005664975881366073,0.4650463416006477,0.4674694443449289,1033074
recent_5_bar_size_pct_atr,0.4990376889704298,0.003562946038315584,0.06066869170933409,0.0011843174914014673,0.9867881352076541,0.9864390012543445,1033074
