feature,importance
ema_200_slope,0.15540794794129495
d1_ema_50_slope_at_entry,0.1410469346601462
atr_200,0.12704790842454836
atr_50,0.10505728786072224
atr_14,0.08206251486480795
ema_50_slope,0.07647495869134728
atr_ratio_14_200,0.06252264694908331
atr_ratio_14_50,0.05540236241012379
ema_spread_20_50_atr,0.04722341940581096
atr_percentile_200,0.04396203323134019
ema_20_slope,0.03493679726847119
position_in_range_60,0.025182660405915644
atr_percentile_60,0.024188491958605722
ema_50_above_200,0.009746260688775694
d1_close_above_ema_50,0.009737775239006544
