cluster,sl_multiplier,n,reach_1R,reach_2R,reach_3R,mfe_p25,mfe_p50,mfe_p75,mfe_p90,ww_pp,mean_R,p25_R,p50_R,capturability_composite,candidate_cluster
0,1.5,2266,0.8411297440423654,0.767431597528685,0.6897616946160635,2.335897109434768,5.001420239023071,8.397745442384702,12.203097037524874,0.1588702559576346,1.9567920571092414,-1.0,-1.0,0.9046778464254194,True
1,1.5,4752,0.3066077441077441,0.11047979797979798,0.030513468013468013,0.17831482890183614,0.5313942713244717,1.2188786323992433,2.07903181950898,0.6933922558922558,-0.9940589727907568,-1.0,-1.0,0.2548172159745761,False
0,2.0,2266,0.9845542806707855,0.9174757281553398,0.7599293909973521,3.0810712724498326,4.661919364306694,7.0749293481320334,9.82103921496744,0.01500441306266549,2.010133624830405,-1.0,-0.30251973624938566,0.9908208296557812,True
1,2.0,4752,0.2596801346801347,0.057028619528619526,0.006734006734006734,0.1695767640861615,0.4715434549305181,1.0285515293863166,1.6776718815692824,0.7403198653198653,-0.9950181353169733,-1.0,-1.0,0.21868054146548324,False
0,2.5,2266,0.9757281553398058,0.8415710503089144,0.6394527802294793,2.4648570179598663,3.7295354914453553,5.659943478505627,7.856831371973953,0.012797881729920565,1.6003751236437607,-0.8579098920902706,-0.03420911073477214,0.9877316857899383,True
1,2.5,4752,0.18707912457912457,0.021254208754208755,0.0010521885521885522,0.13566141126892922,0.37723476394441446,0.8228412235090532,1.3421375052554259,0.27630471380471383,-0.7936772191752949,-1.0,-0.8158492778479004,0.26986867559662897,False
0,3.0,2266,0.9607237422771403,0.7599293909973521,0.5229479258605472,2.054047514966555,3.107946242871129,4.716619565421356,6.54735947664496,0.01147396293027361,1.3336378338871906,-0.6761588934784748,0.011700510798332625,0.9819947043248015,True
1,3.0,4752,0.13026094276094277,0.006734006734006734,0.0006313131313131314,0.11305117605744101,0.314362303287012,0.6857010195908776,1.1184479210461882,0.10837542087542087,-0.6612765059914465,-0.7752320687237961,-0.6610491998221057,0.2723442667008945,False
0,3.5,2266,0.9435127978817299,0.6796116504854369,0.43380406001765226,1.7606121556856185,2.663953922460968,4.042816770361162,5.612022408552823,0.010150044130626656,1.140881858049919,-0.5750569757770798,0.027321467648271567,0.9305689666546958,True
1,3.5,4752,0.0885942760942761,0.002735690235690236,0.0006313131313131314,0.09690100804923515,0.2694534028174389,0.5877437310778951,0.9586696466110185,0.05155723905723906,-0.5669711812316898,-0.6563331837256423,-0.5645807101023135,0.26105338300192116,False
0,4.0,2266,0.9174757281553398,0.5988526037069727,0.34863195057369817,1.5405356362249163,2.330959682153347,3.5374646740660167,4.91051960748372,0.011032656663724626,0.9968157385418762,-0.5026123567459532,0.030072051069403444,0.875578384216504,True
1,4.0,4752,0.057028619528619526,0.0006313131313131314,0.00021043771043771043,0.08478838204308076,0.23577172746525904,0.5142757646931583,0.8388359407846412,0.02798821548821549,-0.49662017941083586,-0.5729069076774338,-0.49363246830609303,0.24865003504250593,False
