trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,final_r,spread_pips_used,spread_pips_exit,fold
44,NZD_USD,2020-10-22 16:00:00,2020-10-22 20:00:00,2020-10-28 16:00:00,stoploss,24,-1.011965803,1.1,1.1,1
45,AUD_CAD,2020-10-23 00:00:00,2020-10-23 04:00:00,2020-11-03 00:00:00,stoploss,42,-1.019455931,1.9,1.9,1
46,USD_CAD,2020-10-23 00:00:00,2020-10-23 04:00:00,2020-11-05 12:00:00,stoploss,57,-1.010977174,1.3,1.3,1
47,USD_CHF,2020-10-23 00:00:00,2020-10-23 04:00:00,2020-10-23 12:00:00,stoploss,3,-1.012639036,0.9,0.9,1
48,CHF_JPY,2020-10-23 08:00:00,2020-10-23 12:00:00,2020-10-27 08:00:00,stoploss,12,-1.022028804,2.2,2.2,1
49,USD_JPY,2020-10-26 00:00:00,2020-10-26 04:00:00,2020-10-27 16:00:00,stoploss,10,-1.007702966,0.6,0.6,1
50,NZD_CHF,2020-10-26 08:00:00,2020-10-26 12:00:00,2020-12-21 12:00:00,time_exit,240,4.410661507,1.7,1.7,1
51,AUD_USD,2020-10-27 04:00:00,2020-10-27 08:00:00,2020-10-28 12:00:00,stoploss,8,-1.009963955,1,1,1
52,EUR_GBP,2020-10-28 08:00:00,2020-10-28 12:00:00,2020-10-29 08:00:00,stoploss,6,-1.00829439,0.8,0.8,1
53,GBP_CAD,2020-10-28 16:00:00,2020-10-28 20:00:00,2020-11-02 08:00:00,stoploss,16,-1.013688493,2.8,2.8,1
54,GBP_CHF,2020-10-29 00:00:00,2020-10-29 04:00:00,2020-12-11 00:00:00,stoploss,186,-1.014718797,1.9,1.9,1
55,GBP_NZD,2020-10-29 04:00:00,2020-10-29 08:00:00,2020-10-29 20:00:00,stoploss,4,-1.022791671,4.8,4.9,1
56,NZD_USD,2020-10-30 00:00:00,2020-10-30 04:00:00,2020-11-02 00:00:00,stoploss,6,-1.011082195,1.1,1.1,1
