feature,auc,ks_stat,ks_pvalue,cohen_d,mean_pos,mean_neg,n
d1_atr_percentile_60,0.5368410752725092,0.056131709157824394,5.175251927015317e-128,0.13051871558824077,0.48756557666693845,0.44435130687767915,255174
atr_ratio_14_200,0.531964541246307,0.051318196898493595,4.665322322924256e-107,0.12369375261430261,1.0200652434078903,0.9918493882617841,255174
d1_atr_percentile_20,0.5303698081896906,0.04745081970897913,1.386006593246162e-91,0.10694237277673665,0.4896110250346571,0.45263103595912496,255174
atr_percentile_200,0.527393182444753,0.04329864488465984,2.5279447283609656e-76,0.09458498153576547,0.49944418168474275,0.4695168653505899,255174
ema_200_slope,0.5257465388729797,0.03996469611321363,4.406064096714413e-65,0.07704077057102235,0.002706565952772656,0.001129698941438953,255174
atr_ratio_14_50,0.5236780160734396,0.03325705925198785,3.3874705094772254e-45,0.09178616544963537,1.0034410593124161,0.9931047730511421,255174
d1_swing_state,0.5217042331346835,0.031209312773130105,7.484306041428377e-40,0.07637283923940523,2.3704639973905244,2.2585384222553504,255174
d1_higher_highs_5,0.5209322985165821,0.03127991013149517,4.9608882357637585e-40,0.0755677437195703,2.561999510723314,2.4714663750457806,255174
atr_14,0.5198949794372352,0.03298238447576207,1.8469855628865609e-44,0.06448881191072928,0.12256249958928683,0.10888977147764414,255174
d1_ema_stack_up,0.5197750112591616,0.03955002251832318,9.532281177176529e-64,0.08050179366127604,0.4386854766370382,0.39913545411871515,255174
d1_close_above_ema_50,0.5194286253787714,0.03885725075754304,1.5088422723220777e-61,0.07788529392288705,0.55818315257278,0.5193259018152369,255174
ema_50_above_200,0.5193297687766594,0.03865953755331869,6.298190488023475e-61,0.07749974495363662,0.5592595612819049,0.5206000237285863,255174
realised_vol_20,0.480682861093133,0.0327603742235858,7.200363340937409e-44,0.0694421407483535,0.002025616483453979,0.001954733206783541,255174
ema_50_slope,0.5186176508513107,0.029425654575321314,1.787871460364521e-35,0.06074958620037247,0.0008718449114179555,0.00020588694212773709,255174
atr_percentile_60,0.518557277727337,0.02770207538543723,1.73054919095293e-31,0.06348265152122766,0.48923265106417674,0.46803630473694807,255174
cross_tf_trend_alignment,0.5180279670180836,0.025710243682183997,3.504655404586135e-27,0.06685838406362236,1.6204517654733752,1.556600415766098,255174
d1_ema_50_slope_at_entry,0.5175813448570503,0.03196038092599929,8.983544576958539e-42,0.04984143340715691,0.0032129002284427915,0.002003822471371645,255174
atr_50,0.5171805191560246,0.031981003458313007,7.944472035973481e-42,0.0588277750805352,0.12119845226636594,0.10905325906006083,255174
ema_spread_20_50_atr,0.516656053789942,0.025297830136932986,2.4897364341799918e-26,0.061258138168936986,0.10441111085676355,0.03992771218158345,255174
d1_momentum_20_atr,0.5157953593061583,0.03025964721704505,1.7270079977241723e-37,0.05534132092327624,0.2320325604622544,0.0935943609922248,255174
d1_range_compression_20,0.515732678936005,0.027401062163682877,8.120924816348905e-31,0.05249266041343412,1.023799720181104,1.0020492798529028,255174
d1_higher_lows_5,0.5148530698709856,0.02178467660828015,1.2339832214778595e-19,0.053526615770374875,2.61952213977004,2.55529534352287,255174
h4_ema_stack_up,0.5143633083057724,0.028726616611544853,7.904955958669485e-34,0.059188831344351656,0.4022506727554432,0.3735240561438984,255174
d1_momentum_5_atr,0.5136192108126321,0.025767931482883366,2.657292840206472e-27,0.04264282654843766,0.07017790615515661,0.014374247799797684,255174
atr_200,0.5133351835919343,0.03004250535946895,5.852819281851669e-37,0.04686770205393429,0.11845425590103169,0.10903484081408997,255174
ema_20_slope,0.5119469307281834,0.02417738882280107,4.364903194720493e-24,0.03367077776174602,0.00033051656887659393,9.149951160884636e-05,255174
w_ema_20_slope,0.5119426828713343,0.02594913060938553,1.1094713801579949e-27,0.03894689940507901,0.005114743088515076,0.0038524974630820743,255174
ema_20_above_50,0.5100812298007616,0.020162459601523297,7.007174681705711e-17,0.04035018358335226,0.5308325858272853,0.510670126225762,255174
d1_atr_14_normalised,0.48995531159444417,0.02644738641603417,9.735415671054132e-29,0.05013173437232638,0.008274951758933106,0.008134128031640448,255174
position_in_range_60,0.5099507348172526,0.01873629559129336,1.2328673245025284e-14,0.03434557278300158,0.5254738739685685,0.51527889324229,255174
atr_percentile_20,0.5096028040283771,0.01644508571932113,2.256632976130282e-11,0.03518278946676489,0.4847859414498899,0.4728395380147427,255174
di_plus_14,0.5085993412733497,0.016150633657905256,5.519835923345902e-11,0.028992191158170984,19.808450238170153,19.61014886574217,255174
cross_tf_trend_strong_up,0.5083829941432497,0.016765988286499445,8.35809805765191e-12,0.042917269320687464,0.2007502242518144,0.183984235965315,255174
d1_realised_vol_20,0.4934890135374933,0.020801183500097853,6.116958686304012e-18,0.033407229529125726,0.004867955917649668,0.004801190241804991,255174
h1_ema_50_slope_at_entry,0.506283086990748,0.017636189087253284,5.13381818551604e-13,0.01905111556203055,0.00017521825312833496,6.720674451779481e-05,255174
prev_3_body_size_atr_mean,0.5061611376096149,0.013196429592525538,1.7820764046404265e-07,0.023730527623087395,0.4790473238749978,0.47319005681873766,255174
recent_5_bar_size_pct_atr,0.5047615290564549,0.010630098554237133,5.319254346895059e-05,0.018365764898065195,0.9927239439269547,0.9889212707550027,255174
session_marker,0.5044493857380218,0.014361414849577814,8.943723336326275e-09,0.016097377707217187,1.3467340781211776,1.328940105953296,255174
prev_3_body_ratio_mean,0.5040075715989044,0.007933172852437442,0.005657696764679873,0.013644855373975546,0.4451037052067054,0.44307856533471296,255147
range_compression_60,0.5035081513263937,0.007363611053067376,0.012734904478161828,0.015819622033456673,1.0128924612648709,1.0044323892113354,255174
dxy_proxy_ema_20_slope,0.4976792993153901,0.013127610980048193,2.109839100301439e-07,0.0064722145871223625,0.00029113616502455413,0.00021326821901641163,255174
hour_of_week,0.501942539460315,0.011621002781122547,6.814195807881315e-06,0.0067353168395875955,58.16997472070456,57.936892277376856,255174
d1_h4_slope_agreement,0.5016710273570382,0.0033420547140762813,0.6742309301916081,-0.006717727198323285,0.5474190654815299,0.5507611201956061,255174
close_in_bar,0.5011288378105884,0.0036740569963366054,0.5543922645357295,-0.004049489407609194,0.5103647517045289,0.5115664560707724,255165
position_in_range_20,0.5010734439503653,0.008055734261038006,0.0047096297758462,0.0025759170728104335,0.5168889521702446,0.5161236133218342,255174
adx_14,0.5008144783026752,0.006770128108702034,0.027833080825127032,-0.0004969198919488383,24.942230506099857,24.94731204580584,255174
range_compression_20,0.499234194496193,0.003311463952845317,0.685336421264576,0.0002653262047766251,1.0011402856430935,1.0010114867239888,255174
di_minus_14,0.5004219815290014,0.0072205269604140865,0.015469284398083804,0.006517717210655766,21.204186716930785,21.158632093549617,255174
body_ratio,0.5004152388775552,0.002382560359515118,0.9535448645775185,0.0015769108617827794,0.4438636745454653,0.4434595494254681,255165
day_of_week,0.5002755320538398,0.008537701288242217,0.0022348869874408805,0.0009784858682115884,2.0007176058060834,1.9993345679076029,255174
body_size_atr,0.5000835902461068,0.0028995702425676506,0.8272560828541093,0.0007643434882607297,0.4748136359914805,0.47449355225774326,255174
