feature,importance
ema_200_slope,0.08371372240331208
w_ema_20_slope,0.07979636397870872
d1_ema_50_slope_at_entry,0.07633655486956027
atr_200,0.058632537152698276
d1_atr_percentile_60,0.056925627841753715
atr_50,0.05161032257857746
d1_atr_14_normalised,0.04808457227769534
d1_realised_vol_20,0.047058841540860125
atr_ratio_14_200,0.04340322529529307
ema_50_slope,0.040476662675174406
atr_14,0.03752885689753998
dxy_proxy_ema_20_slope,0.03218238067045951
d1_momentum_20_atr,0.031590961820828
atr_ratio_14_50,0.025294653373608474
ema_spread_20_50_atr,0.024210832156064722
adx_14,0.022117915654233558
d1_atr_percentile_20,0.022007420314568683
realised_vol_20,0.021916602998148713
atr_percentile_200,0.01939027718063111
ema_20_slope,0.0174379836910865
d1_momentum_5_atr,0.0168245746357056
d1_range_compression_20,0.012131267765633143
position_in_range_60,0.010759657492390733
di_minus_14,0.010463795280742084
h1_ema_50_slope_at_entry,0.010062975125910999
atr_percentile_60,0.009812566608838042
d1_higher_highs_5,0.009426223239400284
di_plus_14,0.00901998103020408
d1_swing_state,0.00801227366812076
position_in_range_20,0.007201501091126509
d1_ema_stack_up,0.006338846387856128
ema_50_above_200,0.006277667303396032
d1_close_above_ema_50,0.006132903376282924
recent_5_bar_size_pct_atr,0.0052148341609546955
d1_higher_lows_5,0.005095971439855851
atr_percentile_20,0.003941223819599921
cross_tf_trend_alignment,0.003763220050641859
hour_of_week,0.0035470200033223703
d1_h4_slope_agreement,0.003239705369622289
h4_ema_stack_up,0.0018741914536061191
day_of_week,0.0017503916946165134
prev_3_body_size_atr_mean,0.0016633289145464429
prev_3_body_ratio_mean,0.0014258477105575506
range_compression_60,0.0012337693503108875
cross_tf_trend_strong_up,0.0010310296575572998
ema_20_above_50,0.0009090885373011835
body_ratio,0.0008190288160505267
range_compression_20,0.0007734809274865237
body_size_atr,0.0007330231496430221
close_in_bar,0.0007212663066762924
session_marker,8.303026124059306e-05
