trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
341,2,-1,-0.5844324773,-1.168864955,0,0,0,1,1,0
343,2,-1,0.1871037074,0.3742074148,0,0,0,1,3,0
349,2,-1,-0.08775903808,-0.1755180762,0,0,0,1,15,5
350,2,-1,-0.1323984319,-0.2647968638,0,0,0,1,2,0
351,2,-1,-0.4709945828,-0.9419891656,0,0,0,1,1,0
352,2,-1,-0.2781993066,-0.5563986132,0,0,0,1,4,0
353,2,-1,-0.1527469366,-0.3054938732,0,0,0,1,3,0
354,2,-1,-0.03161140751,-0.06322281502,0,0,0,1,3,0
361,2,-1,-0.3668468768,-0.7336937536,0,0,0,1,1,0
367,2,-1,-1.002290715,-2.00458143,0,1,0,1,0,0
368,2,-1,0.8312328764,1.662465753,0,0,0,1,13,0
380,2,-1,-0.3072417584,-0.6144835168,0,0,0,1,1,0
381,2,-1,-0.002361831911,-0.004723663822,0,0,0,1,10,0
387,2,-1,-0.01671065694,-0.03342131388,0,0,0,1,1,0
389,2,-1,0.07488229953,0.1497645991,0,0,0,1,8,0
396,2,-1,0.3749208828,0.7498417656,0,0,0,1,7,1
403,2,-1,-1.142203206,-2.284406412,0,1,0,1,0,0
404,2,-1,-0.3724884006,-0.7449768012,0,0,0,1,6,1
406,2,-1,-1.01012815,-2.0202563,0,1,0,1,0,0
411,2,-1,-0.6674865805,-1.334973161,0,0,0,1,1,0
414,2,-1,0.06509694553,0.1301938911,0,0,0,1,6,4
428,2,-1,-1.015151298,-2.030302596,0,1,0,1,0,0
429,2,-1,-0.3541623441,-0.7083246882,0,0,0,1,2,1
431,2,-1,0.1330997786,0.2661995572,0,0,0,1,6,0
432,2,-1,-1.017351298,-2.034702596,0,1,0,1,0,0
444,2,-1,-0.09666394547,-0.1933278909,0,0,0,1,9,3
446,2,-1,0.05297266924,0.1059453385,0,0,0,1,2,0
450,2,-1,0.05834870738,0.1166974148,0,0,0,1,7,4
452,2,-1,0.04974166461,0.09948332922,0,0,0,1,7,0
453,2,-1,0.02912468783,0.05824937566,0,0,0,1,8,4
458,2,-1,0.08186953162,0.1637390632,0,0,0,1,4,0
461,2,-1,-0.07105326609,-0.1421065322,0,0,0,1,5,0
462,2,-1,-0.3231564608,-0.6463129216,0,0,0,1,3,1
463,2,-1,-0.794363139,-1.588726278,0,0,0,1,1,0
467,2,-1,-0.2464315452,-0.4928630904,0,0,0,1,1,0
469,2,-1,-0.4678342386,-0.9356684772,0,0,0,1,1,0
471,2,-1,-0.2464857392,-0.4929714784,0,0,0,1,8,3
472,2,-1,-0.04263545107,-0.08527090214,0,0,0,1,3,0
475,2,-1,-0.1207693866,-0.2415387732,0,0,0,1,4,0
477,2,-1,-0.5603930744,-1.120786149,0,0,0,1,2,1
478,2,-1,0.0191546715,0.038309343,0,0,0,1,7,0
480,2,-1,-0.5684788273,-1.136957655,0,0,0,1,2,0
485,2,-1,0.2141355225,0.428271045,0,0,0,1,4,1
488,2,-1,-0.1280059661,-0.2560119322,0,0,0,1,4,1
490,2,-1,-0.01816347026,-0.03632694052,0,0,0,1,14,2
