cluster_id,n,size_fraction,mono_centroid,local_peaks_centroid,pullback_centroid,ttp_rel_centroid
0,198,0.08612440191,0.5125001774,9.48989899,1.119590636,0.6067096897
1,723,0.3144845585,0.00383158796,0.4177040111,0.006154395362,0.05777715028
2,160,0.06959547629,0.5471289824,39.99375,0.5475217609,0.8594835621
3,270,0.1174423662,0.5235104936,22.20664207,0.5305078641,0.628050727
4,477,0.2074815137,0.5013946956,7.069327731,0.4841956008,0.4800510113
5,93,0.0404523706,0.9557603687,2.225806452,0.05689823904,0.3528782942
6,378,0.1644193127,0.4811374491,3.08994709,0.05973131801,0.2286441082
