K,silhouette,min_cluster_size,max_cluster_pct,gate_pass,gate_detail
3,0.4505993346,687,36.92909961,PASS,PASS
4,0.4691591812,324,32.36189648,PASS,PASS
5,0.45884085,204,32.23140496,PASS,PASS
6,0.4460869923,160,32.18790779,PASS,PASS
7,0.4559404201,93,31.44845585,PASS,PASS
