cluster_id,size,share,modal_shape_tag,modal_tag_share,mono_mean,n_peaks_mean,ttp_rel_mean,dd_depth_mean,recovery_score_mean,mean_r,p25_r,p50_r,p75_r,mfe_p50,mae_p50,bars_held_mean
0,1657,0.24522717182181442,Monotonic down,0.8835244417622209,0.13797846722519314,0.7652383826191913,0.08538293836298715,-1.0676182568712622,-5.237952007432304,-1.0000000000000002,-1.000000000000006,-1.0000000000000002,-0.9999999999999943,0.13786251379230557,-1.1713633723547263,5.352444176222088
1,3560,0.526861033002812,Mixed,0.8078651685393259,0.4571834209604415,7.214606741573034,0.4294350120119015,-2.1736441936527666,-1.3470298841832087,-0.9840521828462626,-1.000000000000006,-1.0000000000000002,-0.9999999999999941,0.934800314835414,-1.1636722678806675,29.17808988764045
2,1540,0.2279117951753737,V-shape recovery,0.43116883116883115,0.5127335349783052,51.54025974025974,0.6332273350237045,-5.035568492720071,0.2746410916918049,2.8310789186336427,-0.9999999999999978,1.9584228158965495,5.0897419344659856,5.644885328037404,-0.819683048715708,201.70324675324676
