cluster_id,archetype,sl_multiplier,n,mean_r,p50_r,reach_1r,reach_2r,reach_3r,mfe_p50,mfe_p75,ww_pp,composite
0,v_shape_recovery,1.5,1493,0.7849851961036796,-1.0,0.47488278633623576,0.3154722036168788,0.2491627595445412,0.9114019550094747,2.981450790579356,0.5251172136637642,0.415004039202992
0,v_shape_recovery,2.0,1493,0.8598343776842519,-1.0,0.5050234427327528,0.3603482920294709,0.30207635632953783,1.016944630969851,4.501141467613742,0.49497655726724715,0.4469087780561053
0,v_shape_recovery,2.5,1493,0.5567221572043339,-1.0,0.5144005358338914,0.38379102478231747,0.3362357669122572,1.0787906970381491,4.461925985621402,0.4842598794373744,0.46055415912866365
0,v_shape_recovery,3.0,1493,0.3742945862391551,-1.0,0.5271265907568654,0.41393168117883455,0.33958472873409246,1.1709724003613655,4.079039969340021,0.47019423978566643,0.47991552306515556
0,v_shape_recovery,3.5,1493,0.263126103103086,-1.0,0.5559276624246483,0.44273275284661756,0.3322170127260549,1.3689390099830092,3.7218031521626975,0.43804420629604823,0.5225695645605316
0,v_shape_recovery,4.0,1493,0.19582475749584324,-0.5000000000000047,0.5833891493636972,0.4621567314132619,0.31949095780308107,1.708547522312052,3.411072782538465,0.40522438044206294,0.5813801089047026
1,monotonic_down,1.5,1658,-0.851058820723772,-1.0,0.47708082026537996,0.3100120627261761,0.22617611580217128,0.9315784330850245,2.592165465440326,0.52291917973462,0.41878668369908323
1,monotonic_down,2.0,1658,-0.8435533215448751,-1.0,0.4704463208685163,0.28950542822677927,0.19843184559710494,0.8790222470911169,2.3985937187689514,0.5295536791314838,0.40834270405849926
1,monotonic_down,2.5,1658,-0.8600055040392777,-1.0,0.4704463208685163,0.27744270205066346,0.16164053075995174,0.877287996623507,2.1977428364254554,0.528950542822678,0.40829115891447954
1,monotonic_down,3.0,1658,-0.8643391263053488,-1.0,0.4589867310012063,0.2503015681544029,0.1218335343787696,0.8965145998262118,1.9998956744482654,0.5386007237635706,0.40353788143931457
1,monotonic_down,3.5,1658,-0.860713909054421,-1.0,0.4378769601930036,0.2135102533172497,0.08866103739445115,0.8370424299518636,1.8135276917517045,0.5579010856453559,0.3833304628269132
1,monotonic_down,4.0,1658,-0.8548817956611351,-1.0,0.4215922798552473,0.17611580217129072,0.06453558504221954,0.7945674863236014,1.633360700744287,0.5675512665862484,0.36944863536662365
2,monotonic_down,1.5,1,-1.0,-1.0,1.0,1.0,1.0,8.042962088511416,8.042962088511416,0.0,1.0
2,monotonic_down,2.0,1,-1.0,-1.0,1.0,1.0,1.0,6.032221566383562,6.032221566383562,0.0,1.0
2,monotonic_down,2.5,1,-1.0,-1.0,1.0,1.0,1.0,4.82577725310685,4.82577725310685,0.0,1.0
2,monotonic_down,3.0,1,-1.0,-1.0,1.0,1.0,1.0,4.021481044255708,4.021481044255708,0.0,1.0
2,monotonic_down,3.5,1,-1.0,-1.0,1.0,1.0,1.0,3.446983752219178,3.446983752219178,0.0,1.0
2,monotonic_down,4.0,1,-1.0,-1.0,1.0,1.0,1.0,3.016110783191781,3.016110783191781,0.0,1.0
