trade_id,bar_offset,timestamp,close_mid,close_r,mfe_so_far_r,mae_so_far_r
AUD_CAD_2010-03-11T20:00:00,0,2010-03-12T00:00:00,0.93652,-0.08542795476924729,0.11335632459765752,-0.16757021897046134
AUD_CAD_2010-03-11T20:00:00,1,2010-03-12T04:00:00,0.93824,0.1971414340828882,0.22671264919533327,-0.16757021897046134
AUD_CAD_2010-03-11T20:00:00,2,2010-03-12T08:00:00,0.93781,0.12649908686986344,0.41399701157406704,-0.16757021897046134
AUD_CAD_2010-03-11T20:00:00,3,2010-03-12T12:00:00,0.93196,-0.834565404284237,0.4895678946391781,-0.9758500987103047
AUD_CAD_2010-03-11T20:00:00,4,2010-03-12T16:00:00,0.93182,-0.8575652382605791,0.4895678946391781,-1.0957778044440651
AUD_CAD_2011-02-21T12:00:00,0,2011-02-21T16:00:00,0.99223,-0.14265828157434668,0.04249395621364164,-0.36423391040256076
AUD_CAD_2011-02-21T12:00:00,1,2011-02-21T20:00:00,0.99116,-0.3050458999621434,0.04249395621364164,-0.5539390720705772
AUD_CAD_2011-02-21T12:00:00,2,2011-02-22T00:00:00,0.98848,-0.7117737665783458,0.04249395621364164,-0.792208755125584
AUD_CAD_2011-02-21T12:00:00,3,2011-02-22T04:00:00,0.98605,-1.0805606008609516,0.04249395621364164,-1.1503721003547793
AUD_CAD_2012-06-11T00:00:00,0,2012-06-11T04:00:00,1.0189,0.02263855368391875,0.04600738329316286,-0.12341663137369481
AUD_CAD_2012-06-11T00:00:00,1,2012-06-11T08:00:00,1.0197,0.139482701730042,0.2329580201669212,-0.12341663137369481
AUD_CAD_2012-06-11T00:00:00,2,2012-06-11T12:00:00,1.01938,0.09274504251158623,0.2329580201669212,-0.12341663137369481
AUD_CAD_2012-06-11T00:00:00,3,2012-06-11T16:00:00,1.01972,0.14240380543118134,0.3936187237302961,-0.12341663137369481
AUD_CAD_2012-06-11T00:00:00,4,2012-06-11T20:00:00,1.01678,-0.2869984386382414,0.3936187237302961,-0.3205911312014893
AUD_CAD_2012-06-11T00:00:00,5,2012-06-12T00:00:00,1.01922,0.06937621290237454,0.3936187237302961,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,6,2012-06-12T04:00:00,1.0196,0.12487718322428067,0.3936187237302961,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,7,2012-06-12T08:00:00,1.01925,0.0737578684540997,0.3936187237302961,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,8,2012-06-12T12:00:00,1.0194,0.09566614621275796,0.3936187237302961,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,9,2012-06-12T16:00:00,1.01864,-0.015335794431054288,0.3936187237302961,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,10,2012-06-12T20:00:00,1.02107,0.33957830525897587,0.5031601125235224,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,11,2012-06-13T00:00:00,1.02083,0.3045250608451421,0.5031601125235224,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,12,2012-06-13T04:00:00,1.0219,0.46080410885682427,0.5031601125235224,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,13,2012-06-13T08:00:00,1.02286,0.6010170865121592,0.6857290938455557,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,14,2012-06-13T12:00:00,1.0238,0.7383089604663224,0.8215604159491654,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,15,2012-06-13T16:00:00,1.02452,0.8434686937078237,0.9384045639952563,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,16,2012-06-13T20:00:00,1.0236,0.7090979234547997,0.9384045639952563,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,17,2012-06-14T00:00:00,1.02199,0.4739490755119998,0.9384045639952563,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,18,2012-06-14T04:00:00,1.02278,0.5893326717075372,0.9384045639952563,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,19,2012-06-14T08:00:00,1.02106,0.33811775340842243,0.9384045639952563,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,20,2012-06-14T12:00:00,1.02199,0.4739490755119998,0.9384045639952563,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,21,2012-06-14T16:00:00,1.02307,0.6316886753742353,0.9384045639952563,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,22,2012-06-14T20:00:00,1.02501,0.9150357343860446,1.0552487120413796,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,23,2012-06-15T00:00:00,1.02407,0.7777438604318814,1.0552487120413796,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,24,2012-06-15T04:00:00,1.02533,0.9617733936045004,1.0815386453517306,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,25,2012-06-15T08:00:00,1.02573,1.0201954676275458,1.191080034144957,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,26,2012-06-15T12:00:00,1.02795,1.3444379784554674,1.4510582635475544,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,27,2012-06-15T16:00:00,1.02963,1.5898106893523036,1.7081153892489802,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,28,2012-06-15T20:00:00,1.02707,1.2159094156047545,1.8979871298239104,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,29,2012-06-18T00:00:00,1.03093,1.7796824299272012,2.1623470147782005,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,30,2012-06-18T04:00:00,1.03211,1.9520275482952305,2.1623470147782005,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,31,2012-06-18T08:00:00,1.03333,2.1302148740655387,2.222229640651832,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,32,2012-06-18T12:00:00,1.03377,2.194479155490895,2.261664540617391,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,33,2012-06-18T16:00:00,1.03754,2.745107203158134,3.0255331584688037,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,34,2012-06-18T20:00:00,1.03552,2.450075729341735,3.0255331584688037,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,35,2012-06-19T00:00:00,1.03499,2.372666481261203,3.0255331584688037,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,36,2012-06-19T04:00:00,1.0358,2.49097118115788,3.0255331584688037,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,37,2012-06-19T08:00:00,1.0377,2.768476032767378,3.0255331584688037,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,38,2012-06-19T12:00:00,1.03568,2.4734445589509466,3.0255331584688037,-0.3804737570751206
AUD_CAD_2012-06-11T00:00:00,39,2012-06-19T16:00:00,1.03654,2.59905201810052,3.0255331584688037,-0.3804737570751206
