h,capture_ratio,mean_realised_R,mean_peak_R
1,0.00984121486544609,0.0035318189766258,0.3588804006576538
3,0.04145297780632973,0.02050711214542389,0.4947078227996826
6,0.056667495518922806,0.0392937958240509,0.69340980052948
12,0.08897864073514938,0.0863611027598381,0.9705823659896851
24,0.09883133322000504,0.13412787020206451,1.3571391105651855
48,0.03736758232116699,0.06990405917167664,1.8707140684127808
120,0.023695457726716995,0.06885723769664764,2.9059255123138428
240,0.009005541913211346,0.03595471382141113,3.9925098419189453
