trade_id,pair,entry_time,signal_bar_time,expected_d1_date_max,d1_date_joined,lag_correct
73,USD_CAD,2021-03-23 12:00:00,2021-03-23 08:00:00,2021-03-22 00:00:00,2021-03-22 00:00:00,1
354,EUR_AUD,2023-02-14 04:00:00,2023-02-14 00:00:00,2023-02-13 00:00:00,2023-02-13 00:00:00,1
362,GBP_USD,2023-03-10 12:00:00,2023-03-10 08:00:00,2023-03-09 00:00:00,2023-03-09 00:00:00,1
534,EUR_CAD,2024-04-23 12:00:00,2024-04-23 08:00:00,2024-04-22 00:00:00,2024-04-22 00:00:00,1
642,EUR_JPY,2025-01-20 12:00:00,2025-01-20 08:00:00,2025-01-19 00:00:00,2025-01-17 00:00:00,1
