k,silhouette,inertia
2,0.31712860439162704,21572.639464606866
3,0.3543808506798109,15275.653383516921
4,0.3472569635470163,12500.04920183491
5,0.313236865270985,10620.053606469262
6,0.3072125599834917,9335.543705058728
