t,corr_close_t_vs_final,decile_means,n_trades
1,0.10208691937703054,"[-1.5168383121490479, 0.10879384726285934, -0.5707129836082458, -1.6047015190124512, 0.3778783977031708, -0.7469346523284912, -0.501494288444519, 0.29326170682907104, 0.6859994530677795, 0.6941271424293518]",553
3,0.13922896093831927,"[-1.5886577367782593, 0.12880121171474457, -0.1952940821647644, -0.5959459543228149, -1.9902381896972656, -1.3240034580230713, 0.20356588065624237, 0.5462355017662048, 0.4635893404483795, 1.5992323160171509]",553
5,0.14964747805110987,"[-1.8819490671157837, -0.30908599495887756, 0.5091844201087952, -1.6293234825134277, -0.47064802050590515, -1.2065980434417725, 0.25087976455688477, -0.8092065453529358, 1.1023659706115723, 1.6681169271469116]",553
10,0.21042374825149715,"[-1.5756169557571411, -1.835457444190979, -2.1582436561584473, -0.1582486927509308, 0.6500481963157654, 0.09669868648052216, -0.8109962940216064, 0.11074363440275192, 0.4104292094707489, 2.4541420936584473]",553
20,0.30753251561861733,"[-3.8785018920898438, -2.673131227493286, -0.9403963685035706, -0.1870599091053009, -0.3736104369163513, 0.8370882868766785, 0.7221744060516357, 1.0591700077056885, 1.1625548601150513, 1.5324516296386719]",553
