trade_id,local_peaks_count,monotonicity_ratio_in_profit
CAD_CHF_2014-12-29 12:00:00,9,0.5
CAD_CHF_2015-04-13 16:00:00,1,0.3333333333333333
CAD_CHF_2016-05-18 20:00:00,0,
CAD_CHF_2016-05-30 00:00:00,3,1.0
CAD_CHF_2017-09-05 16:00:00,1,0.4
CAD_CHF_2017-10-05 20:00:00,3,0.5
CAD_CHF_2017-11-07 12:00:00,4,0.5217391304347826
CAD_CHF_2017-11-10 08:00:00,1,0.5
CAD_CHF_2020-01-06 08:00:00,1,0.6666666666666666
CAD_CHF_2020-05-21 16:00:00,6,0.6363636363636364
CAD_CHF_2020-08-14 08:00:00,0,
CAD_CHF_2020-09-28 08:00:00,1,0.0
CAD_CHF_2020-11-05 00:00:00,3,0.5
CAD_CHF_2020-12-08 12:00:00,0,
CAD_CHF_2021-01-11 12:00:00,8,0.5833333333333334
CAD_CHF_2021-06-01 16:00:00,2,
CAD_CHF_2021-11-26 00:00:00,0,
CAD_CHF_2022-02-10 20:00:00,4,0.6666666666666666
CAD_CHF_2023-01-09 12:00:00,2,0.5
CAD_CHF_2023-01-30 20:00:00,0,
CAD_CHF_2023-02-07 12:00:00,0,
CAD_CHF_2023-02-15 08:00:00,2,0.4444444444444444
CAD_CHF_2023-02-28 12:00:00,8,0.6470588235294118
CAD_CHF_2024-01-23 04:00:00,2,0.2857142857142857
CAD_CHF_2024-11-08 08:00:00,13,0.59375
CAD_CHF_2025-01-22 08:00:00,3,0.5714285714285714
CAD_JPY_2010-03-04 04:00:00,6,0.3888888888888889
CAD_JPY_2011-01-10 12:00:00,7,0.6428571428571429
CAD_JPY_2014-12-26 20:00:00,3,0.6
CAD_JPY_2015-05-22 08:00:00,4,0.631578947368421
CAD_JPY_2015-11-27 04:00:00,0,
CAD_JPY_2016-10-12 20:00:00,5,0.5384615384615384
CAD_JPY_2017-01-30 16:00:00,1,1.0
CAD_JPY_2019-06-12 08:00:00,1,0.25
CAD_JPY_2020-05-12 20:00:00,1,0.3333333333333333
CAD_JPY_2020-11-05 00:00:00,2,0.4444444444444444
CAD_JPY_2020-11-27 16:00:00,4,0.5
CAD_JPY_2021-06-28 04:00:00,1,0.0
CAD_JPY_2021-08-27 12:00:00,4,0.47619047619047616
CAD_JPY_2022-07-28 00:00:00,0,
CAD_JPY_2022-11-08 08:00:00,3,0.42857142857142855
CAD_JPY_2023-11-07 16:00:00,14,0.5609756097560976
CAD_JPY_2024-05-29 20:00:00,0,
CAD_JPY_2025-02-05 16:00:00,0,0.0
CAD_JPY_2025-09-22 16:00:00,1,0.5
CHF_JPY_2010-08-30 20:00:00,7,0.5384615384615384
CHF_JPY_2010-08-31 16:00:00,11,0.5161290322580645
CHF_JPY_2010-11-09 00:00:00,5,0.5
CHF_JPY_2013-06-24 12:00:00,2,0.4
CHF_JPY_2013-10-15 08:00:00,2,
CHF_JPY_2014-06-23 00:00:00,2,0.75
CHF_JPY_2015-03-26 04:00:00,5,0.5333333333333333
CHF_JPY_2015-10-13 00:00:00,7,0.5714285714285714
CHF_JPY_2016-10-14 16:00:00,2,0.5
CHF_JPY_2017-06-22 00:00:00,20,0.6666666666666666
CHF_JPY_2019-01-10 12:00:00,0,
CHF_JPY_2019-07-24 00:00:00,4,0.5
CHF_JPY_2019-11-29 12:00:00,2,0.5
CHF_JPY_2020-02-06 08:00:00,3,0.2
CHF_JPY_2020-02-25 04:00:00,0,1.0
CHF_JPY_2020-04-10 20:00:00,0,
CHF_JPY_2021-06-28 04:00:00,1,0.0
CHF_JPY_2024-02-12 08:00:00,3,0.5
CHF_JPY_2025-03-26 08:00:00,4,0.4
EUR_AUD_2010-09-27 16:00:00,2,0.6666666666666666
EUR_AUD_2011-02-24 12:00:00,0,0.25
EUR_AUD_2012-02-13 16:00:00,2,0.5
EUR_AUD_2012-08-21 00:00:00,36,0.5866666666666667
EUR_AUD_2013-07-29 12:00:00,9,0.5555555555555556
EUR_AUD_2015-05-05 04:00:00,7,0.4444444444444444
EUR_AUD_2015-08-14 08:00:00,13,0.6666666666666666
EUR_AUD_2017-03-07 12:00:00,0,0.25
EUR_AUD_2017-09-25 08:00:00,2,1.0
EUR_AUD_2017-10-03 16:00:00,2,1.0
EUR_AUD_2018-04-18 20:00:00,1,
EUR_AUD_2019-02-12 00:00:00,3,0.5
EUR_AUD_2019-03-05 08:00:00,4,0.45454545454545453
EUR_AUD_2019-04-25 20:00:00,1,0.0
EUR_AUD_2020-10-30 08:00:00,3,1.0
EUR_AUD_2021-03-26 00:00:00,0,
EUR_AUD_2022-02-01 12:00:00,8,0.4
EUR_AUD_2022-09-02 20:00:00,10,0.6842105263157895
EUR_AUD_2022-11-22 08:00:00,4,0.42857142857142855
EUR_AUD_2023-02-20 04:00:00,0,0.0
EUR_AUD_2023-02-23 20:00:00,7,0.5
