feature,p5,p25,p50,p75,p95,mean,std,cv
monotonicity_ratio_in_profit,0.0,0.0,0.47058823704719543,0.6000000238418579,1.0,0.3766844602163618,0.3187269803487217,0.8461378527950152
local_peaks_count,0.0,1.0,2.0,6.0,13.0,3.9710669077757683,5.119856392086374,1.2892898837995288
pullback_magnitude_median,0.0,0.0,0.0,0.0,0.3697175562381743,0.05251606051249271,0.1466341475231059,2.7921772138301204
time_to_peak_mfe_relative,0.0,0.07692307978868484,0.5,0.7777777910232544,1.0,0.4666673278479852,0.3534509049330514,0.7573937231967233
