archetype_id,size_count,size_fraction_of_pool,monotonicity_centroid,local_peaks_centroid,pullback_magnitude_centroid,time_to_peak_relative_centroid,fwd_mfe_h240_p5,fwd_mfe_h240_p25,fwd_mfe_h240_p50,fwd_mfe_h240_p75,fwd_mfe_h240_p95,final_r_p5,final_r_p25,final_r_p50,final_r_p75,final_r_p95,final_r_mean,final_r_t_stat,frac_reach_1R,frac_reach_2R,frac_wrong_way,pct_peak_and_collapse,shape_tag,band_0_to_0_5R,band_0_5_to_1R,band_1_to_2R,band_2_to_5R,band_above_5R
0,93,0.16817359855334538,0.6433610268818435,2.365591397849461,0.011218822771503038,0.2877491912854615,0.4332015931606293,1.3801223039627075,3.0616979598999023,5.147852420806885,9.187057113647453,-1.2088462829589843,-0.8912847638130188,-0.3399779796600342,0.13558080792427063,1.0067039728164673,-0.29523616554515975,-4.046758463291197,0.7956989247311828,0.6774193548387096,0.5698924731182796,0.4946236559139785,bimodal,0.10752688172043011,0.0967741935483871,0.11827956989247312,0.41935483870967744,0.25806451612903225
1,189,0.34177215189873417,0.018442933127363836,0.4285714285714177,0.001129229705800594,0.1060551058441867,0.12952333688735962,0.9293743371963501,2.3665521144866943,5.034931182861328,9.27551860809326,-1.3192607879638671,-1.0119017362594604,-0.7615076303482056,-0.3357182443141937,-0.04212814047932626,-0.7037681657377453,-21.531526663135434,0.7301587301587301,0.5608465608465608,0.6931216931216931,0.6984126984126984,bimodal,0.1693121693121693,0.10052910052910052,0.1693121693121693,0.30158730158730157,0.25925925925925924
2,50,0.09041591320072333,0.47354978799819947,3.86,0.45534177482128135,0.6963985818624496,0.5811903238296509,1.1432423293590546,2.7021968364715576,4.875868916511536,9.83148188591003,-1.2636036217212676,-0.7919328212738037,-0.14112939685583115,0.2824220284819603,1.1565861523151395,-0.15355180050246417,-1.3762718291561358,0.76,0.6,0.5,0.36,bimodal,0.04,0.2,0.16,0.36,0.24
3,68,0.12296564195298372,0.5809122341520647,14.647058823529411,0.021829676102189475,0.8503409667926677,2.1235618710517885,3.540571928024292,5.25957727432251,7.351885795593262,13.716149377822875,0.12508197836577892,1.0551225244998932,2.1884413957595825,3.0429545640945435,5.413053655624388,2.372784776174847,10.38728001909798,1.0,0.9705882352941176,0.04411764705882353,0.029411764705882353,bimodal,0.0,0.0,0.029411764705882353,0.4411764705882353,0.5294117647058824
4,153,0.2766726943942134,0.5346973550085927,4.61437908496732,0.02309215565522508,0.7752864553647885,0.5044189214706422,1.7961626052856445,3.1932122707366943,6.0442914962768555,10.557157707214357,-1.1384992837905883,-0.053571365773677826,0.3390108346939087,0.7923996448516846,1.8241909027099614,0.38871286583005216,5.014082718459991,0.8954248366013072,0.7058823529411765,0.33986928104575165,0.20261437908496732,bimodal,0.05228758169934641,0.05228758169934641,0.1895424836601307,0.3660130718954248,0.33986928104575165
