trade_id,archetype_id
AUD_JPY_2017-01-05 00:00:00,4
EUR_JPY_2017-01-23 04:00:00,0
GBP_AUD_2017-01-27 12:00:00,1
CAD_JPY_2017-01-30 16:00:00,0
EUR_AUD_2017-03-07 12:00:00,4
EUR_CHF_2017-03-08 16:00:00,1
EUR_USD_2017-03-14 08:00:00,4
AUD_USD_2017-03-31 12:00:00,4
AUD_CHF_2017-04-18 04:00:00,4
AUD_USD_2017-05-25 08:00:00,4
USD_JPY_2017-05-26 04:00:00,4
CHF_JPY_2017-06-22 00:00:00,3
NZD_CAD_2017-06-23 20:00:00,5
GBP_NZD_2017-07-18 08:00:00,5
GBP_JPY_2017-07-28 12:00:00,5
GBP_CAD_2017-08-03 12:00:00,4
GBP_NZD_2017-08-09 20:00:00,6
AUD_CHF_2017-08-18 20:00:00,6
EUR_CHF_2017-09-01 12:00:00,4
USD_CHF_2017-09-04 08:00:00,6
CAD_CHF_2017-09-05 16:00:00,6
USD_CHF_2017-09-15 08:00:00,5
EUR_AUD_2017-09-25 08:00:00,0
USD_CAD_2017-09-29 20:00:00,3
EUR_AUD_2017-10-03 16:00:00,0
CAD_CHF_2017-10-05 20:00:00,1
EUR_CHF_2017-10-13 20:00:00,3
GBP_JPY_2017-10-16 12:00:00,6
AUD_CAD_2017-10-18 00:00:00,4
AUD_CAD_2017-10-27 20:00:00,3
CAD_CHF_2017-11-07 12:00:00,5
CAD_CHF_2017-11-10 08:00:00,6
EUR_JPY_2017-11-16 12:00:00,4
NZD_CAD_2017-11-30 20:00:00,0
EUR_CHF_2017-12-06 12:00:00,6
AUD_CHF_2017-12-18 20:00:00,3
GBP_JPY_2017-12-26 12:00:00,3
EUR_GBP_2017-12-27 20:00:00,1
NZD_CAD_2018-01-02 16:00:00,1
NZD_CAD_2018-01-03 20:00:00,6
EUR_NZD_2018-01-29 12:00:00,1
NZD_JPY_2018-02-02 20:00:00,1
GBP_USD_2018-02-19 04:00:00,4
NZD_USD_2018-03-14 20:00:00,4
GBP_USD_2018-03-16 12:00:00,5
NZD_USD_2018-04-06 00:00:00,3
EUR_USD_2018-04-12 12:00:00,6
EUR_AUD_2018-04-18 20:00:00,0
AUD_CHF_2018-05-01 08:00:00,5
EUR_GBP_2018-06-01 12:00:00,4
NZD_USD_2018-06-01 12:00:00,1
GBP_CAD_2018-06-11 08:00:00,5
USD_CHF_2018-06-19 00:00:00,5
GBP_NZD_2018-06-28 20:00:00,1
EUR_USD_2018-07-10 08:00:00,1
AUD_JPY_2018-07-11 20:00:00,1
AUD_CHF_2018-07-16 12:00:00,4
AUD_CHF_2018-07-16 16:00:00,0
EUR_USD_2018-07-24 04:00:00,1
AUD_USD_2018-08-29 08:00:00,1
AUD_JPY_2018-08-29 08:00:00,6
AUD_JPY_2018-08-30 04:00:00,4
GBP_CAD_2018-09-03 08:00:00,6
USD_JPY_2018-09-06 00:00:00,4
AUD_USD_2018-09-24 12:00:00,2
AUD_CHF_2018-10-02 20:00:00,4
AUD_CHF_2018-10-16 08:00:00,1
EUR_CHF_2018-11-08 16:00:00,4
EUR_USD_2018-11-20 16:00:00,0
EUR_NZD_2018-12-18 00:00:00,3
NZD_CAD_2019-01-04 20:00:00,0
CHF_JPY_2019-01-10 12:00:00,4
EUR_AUD_2019-02-12 00:00:00,6
EUR_JPY_2019-02-22 12:00:00,3
NZD_CAD_2019-02-27 08:00:00,4
AUD_CAD_2019-02-27 08:00:00,4
AUD_CHF_2019-02-27 08:00:00,0
NZD_CHF_2019-02-28 04:00:00,4
EUR_AUD_2019-03-05 08:00:00,1
NZD_USD_2019-03-14 08:00:00,1
NZD_USD_2019-03-19 20:00:00,1
NZD_USD_2019-03-20 16:00:00,0
AUD_CAD_2019-03-20 16:00:00,5
EUR_GBP_2019-04-11 12:00:00,1
USD_CHF_2019-04-12 08:00:00,3
USD_CAD_2019-04-22 16:00:00,1
EUR_AUD_2019-04-25 20:00:00,4
USD_CAD_2019-04-29 16:00:00,0
AUD_CHF_2019-05-01 08:00:00,4
NZD_CHF_2019-05-01 08:00:00,4
EUR_USD_2019-05-28 16:00:00,0
CAD_JPY_2019-06-12 08:00:00,4
GBP_AUD_2019-06-24 00:00:00,4
GBP_USD_2019-06-25 16:00:00,2
EUR_CAD_2019-06-25 20:00:00,4
AUD_CAD_2019-07-17 08:00:00,5
CHF_JPY_2019-07-24 00:00:00,1
USD_CAD_2019-08-05 16:00:00,1
GBP_AUD_2019-08-20 04:00:00,6
AUD_CAD_2019-09-05 08:00:00,3
USD_CAD_2019-10-07 12:00:00,1
AUD_NZD_2019-10-15 20:00:00,1
USD_CHF_2019-10-29 16:00:00,6
USD_CHF_2019-11-11 12:00:00,6
CHF_JPY_2019-11-29 12:00:00,0
USD_JPY_2019-12-20 20:00:00,1
CAD_CHF_2020-01-06 08:00:00,6
GBP_USD_2020-01-24 08:00:00,4
GBP_NZD_2020-01-24 08:00:00,3
GBP_CHF_2020-02-03 04:00:00,4
CHF_JPY_2020-02-06 08:00:00,0
CHF_JPY_2020-02-25 04:00:00,4
AUD_USD_2020-03-10 12:00:00,4
NZD_CAD_2020-03-13 04:00:00,0
EUR_CHF_2020-03-27 08:00:00,4
NZD_USD_2020-03-31 08:00:00,4
GBP_USD_2020-04-02 16:00:00,4
CHF_JPY_2020-04-10 20:00:00,4
CAD_JPY_2020-05-12 20:00:00,6
EUR_CHF_2020-05-20 08:00:00,2
CAD_CHF_2020-05-21 16:00:00,1
AUD_CAD_2020-05-28 20:00:00,3
AUD_CHF_2020-06-17 20:00:00,5
EUR_JPY_2020-07-01 04:00:00,6
NZD_CHF_2020-07-07 08:00:00,6
AUD_NZD_2020-07-20 08:00:00,1
EUR_CHF_2020-07-20 12:00:00,1
CAD_CHF_2020-08-14 08:00:00,4
USD_JPY_2020-09-07 04:00:00,1
NZD_JPY_2020-09-11 12:00:00,1
AUD_JPY_2020-09-14 08:00:00,0
AUD_USD_2020-09-15 00:00:00,0
CAD_CHF_2020-09-28 08:00:00,4
EUR_CHF_2020-09-28 08:00:00,4
