percentile,fwd_mfe_h240_R,final_r
1,0.4299170011281967,-1.5709524416923524
5,0.5766278147697449,-1.2752071976661683
10,0.6974939346313477,-1.1343270301818846
20,0.8989283323287964,-0.9556112766265868
30,1.2263991832733154,-0.5672608971595766
40,1.8284463167190552,-0.30283118486404415
50,2.497655153274536,-0.1016114205121994
60,2.8803471088409425,0.044056747853755934
70,3.8699244499206533,0.20749651193618773
80,5.200092601776125,0.5749255418777467
90,7.8602855682373045,0.9215982198715207
95,10.092079448699943,1.1748152852058404
99,13.35435050964355,1.660692405700683
