percentile,fwd_mfe_h240_R,final_r
1,0.05444959484040737,-1.581251196861267
5,0.12180858999490739,-1.3583574533462524
10,0.25318611860275275,-1.2417433738708497
20,0.6624104261398317,-1.0776334047317504
30,1.1608295917510987,-0.9923986196517944
40,1.7636926889419557,-0.9133757948875427
50,2.3178601264953613,-0.8046367168426514
60,3.458883762359619,-0.6451865673065187
70,4.641003704071044,-0.4852721035480505
80,5.71046314239502,-0.3171357333660125
90,7.278033924102783,-0.15197013914585097
95,9.323980236053462,-0.06050371341407316
99,13.760740318298357,0.05854379791766436
