trade_id,pair,entry_time,bars_held,final_r,mfe_r,mae_r
NZD_CAD_2011-10-31T16:00:00,NZD_CAD,2011-10-31T20:00:00,13,-1.001994737498553,0.5011777965106943,-1.1315148460525195
NZD_CAD_2017-06-23T20:00:00,NZD_CAD,2017-06-26T00:00:00,10,-1.0216590398477554,0.8735812738598736,-1.0454096566521498
NZD_JPY_2013-05-13T08:00:00,NZD_JPY,2013-05-13T12:00:00,21,-1.0005374231514197,0.4224145970139251,-1.3790278065366186
NZD_JPY_2016-04-21T16:00:00,NZD_JPY,2016-04-21T20:00:00,32,-1.0098852738626432,1.8508721591049344,-1.2228665254783857
NZD_USD_2013-12-12T12:00:00,NZD_USD,2013-12-12T16:00:00,29,-1.0019463369514718,0.5585987050731905,-1.2216508265421882
NZD_USD_2021-02-10T08:00:00,NZD_USD,2021-02-10T12:00:00,31,-1.0020446189312655,1.243128310213435,-1.0223094656360123
USD_CAD_2010-11-19T04:00:00,USD_CAD,2010-11-19T08:00:00,20,-1.0115116783561937,1.0852954539141595,-1.115993262863974
USD_CAD_2013-10-11T16:00:00,USD_CAD,2013-10-11T20:00:00,18,-1.0012912361460506,0.6933938104375604,-1.0342801529991188
USD_CAD_2025-07-10T20:00:00,USD_CAD,2025-07-11T00:00:00,47,-1.0019233970130923,2.3138466067423265,-1.000166446804701
USD_CHF_2018-06-19T00:00:00,USD_CHF,2018-06-19T04:00:00,22,-1.0010034119061315,1.0937189776780305,-1.1579373396701094
USD_JPY_2013-09-24T08:00:00,USD_JPY,2013-09-24T12:00:00,20,-1.0008252495929986,0.5768494654983507,-1.1380191887299784
USD_JPY_2013-09-24T20:00:00,USD_JPY,2013-09-25T00:00:00,17,-1.0007852858760875,0.6305845585006313,-1.0012394920153316
