fold,oos_start,oos_end,n_trades,fold_roi_pct,annualised_roi_pct,max_dd_pct,worst_day_dd_pct,ending_equity,final_r_sign_positive
1,2020-10-01,2021-07-01,0,0,0,0,0,10000,0
2,2021-07-01,2022-04-01,50,104.4043236,159.3536349,3.014107831,1.548640959,20440.43236,1
3,2022-04-01,2023-01-01,24,22.82248391,31.39451974,1.51149915,1.51149915,12282.24839,1
4,2023-01-01,2023-10-01,32,41.0011965,58.36054408,2.410699637,1.517788525,14100.11965,1
5,2023-10-01,2024-07-01,39,42.10703515,59.75005717,3.763841292,1.568743339,14210.70351,1
6,2024-07-01,2025-04-01,44,68.37275387,100.2750902,3.038014837,3.001804168,16837.27539,1
7,2025-04-01,2026-01-01,47,78.21616859,115.4286099,2.146304637,1.550033538,17821.61686,1
