config_id,fold_id,n_trades,roi_pct,max_dd_pct,ratio
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,2,327,-0.30240530526876963,0.37798120381989464,-0.8000538180540416
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,3,384,0.02635793478248516,0.21458432564098526,0.12283252611182723
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,4,350,-0.2658132759551173,0.28446834809847954,-0.934421272988501
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,5,342,-0.33375528629037454,0.3967600421598044,-0.8412018621470626
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,6,344,-0.25495584929705595,0.29720282378663654,-0.8578513691380337
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,7,380,0.03378852626961759,0.16636367625136525,0.2031003824330331
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,8,361,-0.06979961556136605,0.16334880381347275,-0.4273041120097207
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,9,364,0.17322974892500076,0.10846516820056142,1.5971002654482043
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,10,363,-0.06399181424713007,0.1742200751247437,-0.3673044808487837
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,11,350,-0.1022771192585532,0.17375230464484143,-0.5886374829249768
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,2,363,-0.29400898181459667,0.3763819587489386,-0.7811452567807908
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,3,449,0.07146140063358608,0.2393243597080454,0.29859643506729816
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,4,384,-0.3135816211870798,0.3397145186167326,-0.9230739459235887
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,5,371,-0.32351994768164793,0.4153460919922597,-0.7789165563827599
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,6,388,-0.26532496891211177,0.3016344869782775,-0.8796241158300291
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,7,422,0.16181046931534815,0.1573748346732808,1.0281851583912762
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,8,394,-0.0036963909017048158,0.17281455940603907,-0.021389348874361357
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,9,408,0.1925114438462281,0.11839216087438723,1.6260489074988724
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,10,407,-0.1152896924086575,0.20491566534897163,-0.5626201989599917
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,11,411,-0.10868693018036668,0.19602009069230059,-0.5544683190203001
