cluster_label,size,size_fraction,centroid_monotonicity_ratio_in_profit,centroid_local_peaks_count,centroid_pullback_magnitude_median,centroid_time_to_peak_mfe_relative
0,591,0.2301401869,0.008403835307,0.2453468697,0,0.04058286594
1,493,0.1919781931,0.4989183752,8.697768763,0.472925398,0.3845657514
2,380,0.1479750779,0.5489078067,24.41842105,0.4984716916,0.8159857363
3,437,0.1701713396,0.5785008308,2.528604119,0.04415146408,0.2526499841
4,327,0.1273364486,0.5716157224,7.785932722,0.4259963526,0.7872228676
5,110,0.04283489097,0.01807359307,1.545454545,0.09684946486,0.6446862572
6,230,0.08956386293,0.5037068052,8.373913043,1.083392279,0.641395796
