fold,yr,n,replay_ROI,slhonest_ROI,dROI,replay_win,slhonest_win,replay_meanR,slhonest_meanR,replay_trailDD,slhonest_trailDD
F1,2010,201,23.238731341481,-7.149859878524845,-30.388591220005846,68.1592039800995,47.76119402985074,0.3087472562765671,-0.04374411107090238,7.7337829134641405,11.70705707757836
F2,2011,182,25.830308725919295,-8.196326505331164,-34.02663523125046,71.97802197802197,43.956043956043956,0.40399850602928916,-0.14630189499766033,7.550287508926358,8.343692594832797
F3,2012,179,28.471492989846283,3.549957878318599,-24.92153511152768,73.18435754189943,54.7486033519553,0.46878522041354376,0.1235389690695225,3.8856345354927475,8.605465501277004
F4,2013,195,40.19034012366078,8.847853927691073,-31.34248619596971,71.7948717948718,51.7948717948718,0.5528686026889974,0.1591572233359418,6.401101287395767,14.133194621981469
F5,2014,192,28.910217533922,-2.7243815038619723,-31.63459903778397,73.95833333333334,50.520833333333336,0.43008285613142644,0.02730824373571472,6.179706019796161,5.701941880843663
F6,2015,190,20.771888308895182,-7.55699882393055,-28.32888713282573,65.26315789473685,46.8421052631579,0.294690656356024,-0.05277938078760548,5.745041436432071,7.492452131907175
F7,2016,171,28.508296362126394,-5.605064485373868,-34.11336084750026,72.51461988304094,46.783625730994146,0.44133884122577544,-0.05149417649616471,5.523555070674853,8.620604743585874
F8,2017,190,42.560028749295654,-8.191219412934704,-50.751248162230354,75.78947368421053,44.21052631578947,0.5878442767967843,-0.015355055300162462,6.963248191594736,8.76247124087721
F9,2018,176,13.771609037894962,-7.771308228021345,-21.542917265916305,65.3409090909091,44.31818181818182,0.23198352424407498,-0.13271566345024705,5.086704757877547,8.796566366182027
F10,2019,195,30.967184424702367,-8.324342528354677,-39.291526953057044,73.33333333333333,50.256410256410255,0.4323655498507757,0.008253862445860075,7.583467207096536,10.672824947829717
F11,2020,188,34.07567553835793,-6.429738057879353,-40.50541359623728,75.53191489361703,48.40425531914894,0.4821883915465081,-0.04936488129867582,6.211015426362661,11.312085553060157
2021,2021,212,33.840000325882905,0.6912769698665722,-33.14872335601633,71.22641509433963,51.41509433962265,0.4328346834797682,0.04861623593817113,5.362929981793283,10.120148125138961
2022,2022,179,22.39689789088226,-5.9360526086096215,-28.332950499491883,67.59776536312849,46.927374301675975,0.3425527068169442,-0.04588101794028764,6.871416102449842,9.073863042976255
2023,2023,189,24.921643534058123,1.5851033748793153,-23.33654015917881,67.1957671957672,50.79365079365079,0.36469368484912723,0.06082454956255275,5.336880425043114,6.6636092861411225
2024,2024,191,36.736495768313105,-3.5728197105118653,-40.30931547882497,75.91623036649214,49.21465968586388,0.5241720502497178,-0.00025966773578950126,4.877750001294804,8.697669779340007
2025,2025,251,43.53700517743639,4.415351684077629,-39.121653493358764,76.09561752988047,56.17529880478087,0.46386378048551913,0.08737273254830229,5.863180612838124,6.971000887580003
2026p,2026,71,2.7819955182238676,0.48790436581631624,-2.2940911524075513,57.74647887323944,53.52112676056338,0.15202430591507107,0.07124644843592937,4.585048185400291,5.643651174594015
