cluster_id,n_trades,shape_tag,reach_1r,reach_2r,reach_3r,mfe_p25,mfe_p50,mfe_p75,mfe_p90,wrong_way_pp,ttp_p25,ttp_p50,ttp_p75,mean_r,final_r_p25,final_r_p50,selected_sl,capturability_composite,is_candidate
0,616,bimodal,1.0,1.0,1.0,6.31129783475281,7.86253511123371,10.219238608703314,13.062086494666675,0.00487012987012987,240,240,240,5.607619304909841,3.019041462620712,5.222821166108588,1.5,1.9968099938008559,True
1,1794,unclassified,0.9604236343366778,0.5356744704570792,0.3188405797101449,1.3893792270798155,2.112746676374748,3.3629752495259666,4.6807894977062805,0.038461538461538464,29,58,127,-0.6392708421733326,-1.0,-1.0,1.5,0.9674611705602674,True
2,1556,unclassified,0.04434447300771208,0.02313624678663239,0.013496143958868894,0.32728563795968624,0.5059525595894241,0.7282086557683314,0.8939926549520538,0.967866323907455,6,11,19,-0.9841673271677998,-1.0,-1.0,1.5,0.18660521939116181,False
3,1089,monotonic_down,0.005509641873278237,0.0009182736455463728,0.0009182736455463728,0.021651939095696373,0.09581673109577664,0.20979541323349132,0.41013129347315097,0.9963269054178145,2,3,6,-0.9989223526584943,-1.0,-1.0,1.5,0.02695144090003889,False
