trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
123,CAD_CHF,0.5294117647,1,0,0.3898305085
124,GBP_CAD,0,0,0,0
125,AUD_NZD,0.5191489362,43,0.642569979,0.6721991701
126,GBP_NZD,0,2,0,0.4
127,USD_JPY,0.5,2,0,0.375
128,EUR_CHF,0,0,0,0
129,GBP_NZD,0.5098039216,7,1.130084903,0.5125
130,GBP_AUD,0.6666666667,3,0,0.1578947368
131,GBP_CHF,0.5,6,0.4302601475,0.5238095238
132,GBP_CAD,0.5588235294,19,0.7417377182,0.7468879668
133,EUR_CHF,0.4833333333,7,1.018300014,0.3300970874
134,USD_CAD,0.5,2,0,0.05
135,USD_CHF,0.4,1,0,0.02857142857
136,EUR_AUD,0,0,0,0
137,USD_JPY,0,1,0,0.6944444444
138,GBP_CHF,0.519047619,31,0.2318608195,0.9958506224
139,GBP_AUD,0,1,0,0.1
140,NZD_CAD,0.5,13,0.468564745,0.4565217391
141,NZD_CHF,0.5106382979,29,0.6187326101,0.9917012448
142,CAD_CHF,0,0,0,0
143,AUD_CHF,0.5294117647,44,0.4306144555,0.9958506224
144,AUD_JPY,0.5042372881,40,0.507502749,0.9834024896
145,NZD_JPY,0.5,2,0.5241910906,0.3333333333
146,CAD_CHF,0.3333333333,1,0,0.3333333333
147,CAD_JPY,0.5042735043,42,0.471583289,0.9585062241
148,NZD_JPY,0.4761904762,9,0.4166098785,0.2826086957
149,EUR_JPY,0.4285714286,4,0.3756282725,0.2580645161
150,GBP_JPY,0.5130434783,51,0.501470947,0.8755186722
151,USD_CHF,0.5672268908,42,0.380867205,0.9958506224
152,USD_JPY,0.5579399142,41,0.458027289,0.9958506224
153,CAD_CHF,0.5061728395,8,1.130944788,0.6022727273
154,USD_CAD,0.5714285714,2,0,0.1
155,GBP_NZD,0.5375,27,0.6636690825,0.9875518672
156,GBP_AUD,0.4789915966,26,1.12720446,0.9875518672
157,AUD_CAD,0,0,0,0
158,GBP_USD,0.2857142857,3,0.7896620424,0.5263157895
159,AUD_USD,0,0,0,0
160,USD_CAD,1,1,0,0.07142857143
161,EUR_GBP,0,0,0,0
162,EUR_NZD,0.5714285714,4,0.3924436758,0.5
163,AUD_USD,0.4545454545,4,0.2060947211,0.25
164,NZD_USD,0.4827586207,7,0.9459779039,0.6764705882
165,NZD_CAD,0.4918918919,24,0.7047709255,0.7628865979
166,NZD_JPY,0.5217391304,32,0.7243153026,0.6265560166
167,GBP_USD,0,1,0,0
168,EUR_USD,0.6,1,0,0.09090909091
169,EUR_JPY,0,0,0,0
170,EUR_CAD,0.4705882353,3,0.194841621,0.512195122
171,EUR_AUD,0,1,0,0.7272727273
172,AUD_CAD,0.8,3,0.5088824721,0.4705882353
173,USD_CAD,0,0,0,0
174,EUR_CHF,0,0,0,0
175,GBP_USD,0.3333333333,2,0.1210726819,0.375
176,EUR_JPY,0.5381355932,28,0.583328437,0.867219917
177,EUR_NZD,0.5,1,0,0.1
178,EUR_AUD,0.25,0,0,0
179,EUR_USD,0,0,0,0
180,EUR_CHF,0.5774058577,28,0.54706061,0.5892116183
181,CAD_CHF,0.5683760684,46,0.3845402241,0.9460580913
182,AUD_USD,0,0,0,0
183,USD_CAD,0,0,0,0
184,EUR_NZD,0,0,0,0
185,GBP_USD,0.4723404255,25,0.2711562475,0.3070539419
186,AUD_CAD,0.5089285714,23,0.6537246839,0.686440678
187,EUR_USD,0.5057471264,16,0.4259337061,0.8282828283
188,EUR_GBP,0,1,0,0
189,NZD_USD,0.4736842105,4,1.358644104,0.8048780488
190,AUD_USD,0.5384615385,24,0.712511371,0.6666666667
191,EUR_CAD,0.6666666667,2,1.042564739,0.68
192,CHF_JPY,0.4523809524,10,0.8159606576,0.54
193,EUR_AUD,0,2,0.2177541237,0.4285714286
194,EUR_NZD,0,1,0,0.3684210526
195,EUR_GBP,0,1,0,0.25
196,USD_CAD,1,2,0.1154076006,0.4285714286
197,AUD_NZD,0.5217391304,16,0.623818459,0.8076923077
198,GBP_CAD,0.435483871,10,0.97323468,0.4712643678
199,NZD_USD,0.48,9,0.4971020901,0.7
200,EUR_NZD,0,0,0,0
201,GBP_CHF,0.6666666667,3,0,0.1666666667
202,NZD_CHF,0.5,6,0.471932584,0.5882352941
203,EUR_GBP,0.5666666667,4,0.229212003,0.1162790698
204,CHF_JPY,0,2,0.4309662748,0.2727272727
205,EUR_AUD,0.4905660377,5,0,0.05813953488
206,USD_CAD,0.4791666667,3,0,0.05172413793
207,EUR_NZD,0,0,0,0
208,EUR_CAD,0,0,0,0
209,AUD_JPY,0.5063291139,12,0.4566616995,0.752688172
210,NZD_CHF,0.6666666667,3,0.2491788461,0.6
211,NZD_USD,0,1,0,0
212,GBP_CHF,0.5547445255,12,0.776663551,0.872611465
213,AUD_CHF,0,0,0,0
214,CAD_JPY,0.5732217573,32,0.6050952962,0.9958506224
215,USD_CHF,0.5806451613,8,0.3537099453,0.2363636364
216,EUR_NZD,0.5,2,0,0.1666666667
217,AUD_NZD,0,0,0,0
218,CHF_JPY,0.5614035088,17,0.3417547955,0.6883116883
