trade_id,pair,entry_date,body_to_range_ratio,upper_wick_ratio,lower_wick_ratio,range_to_atr_14,ret_5bar_atr,ret_20bar_atr,pos_in_20bar_range,rsi_14,atr_7,atr_28,ret_50bar_atr,ret_100bar_atr,body_to_range_mean_5,upper_wick_mean_5,bars_since_high20,bars_since_low20,rsi_7,rsi_28,cci_14,bb_pos_20,realized_vol_20,realized_vol_60,dist_to_swing_high_20,dist_to_swing_low_20
AUD_USD_2010-02-18 20:00:00,AUD_USD,2010-02-18 16:00:00,0.0851063829787224,0.110251450676996,0.8046421663442814,1.2232299170476597,0.6198960121208528,2.60498286009568,0.8099325567136668,61.33186445415461,0.004297710976964159,0.004514191533017079,7.696647814615132,-0.5820397671058528,0.4743265749524642,0.1272785612099086,7.0,18.0,60.57688622692557,58.43988934701561,6.990772180714689,0.7702555330214435,0.0024858354484557418,0.0040130608195087375,0.7334647471659311,3.1255062290521254
AUD_USD_2011-12-28 12:00:00,AUD_USD,2011-12-28 08:00:00,0.715762273901843,0.0594315245477907,0.2248062015503662,1.27088557173752,1.1460957739958373,1.605847660412529,0.9613445378151348,60.26987621830413,0.0025716957109431105,0.003834414144606835,8.085065316841739,-2.1969572286624666,0.6652981495729672,0.14945426470958995,0.0,19.0,64.01065563957039,56.58129464309508,159.80471928396437,1.9539320300287857,0.0019296184032184124,0.002949342455701264,0.07553066705415146,1.8784148502167324
AUD_USD_2013-01-03 20:00:00,AUD_USD,2013-01-03 16:00:00,0.4444444444444733,0.4619883040935801,0.0935672514619465,0.624546573500957,0.3579272760414561,4.832018226559699,0.9049662783568266,65.03215884628574,0.002717425350350075,0.0025987189770837016,1.336748806440565,1.2344838704286973,0.601604335997114,0.23433059347746266,0.0,13.0,67.16611794488841,58.839796521002285,81.83688966951999,1.1377553675010101,0.0027759393100196877,0.001922672265894414,0.5661094672084959,5.390823055481586
AUD_USD_2014-06-02 00:00:00,AUD_USD,2014-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,
AUD_USD_2015-03-26 00:00:00,AUD_USD,2015-03-25 20:00:00,0.1513513513513902,0.2594594594594319,0.5891891891891778,0.4376439376885409,-0.8256093743422062,2.644788769382793,0.5636017151024313,56.47129788342824,0.0038279034073316954,0.004302636530157224,4.927634174082579,0.28860843458380875,0.329299018631647,0.35072622559690475,8.0,19.0,47.15435566162424,56.79117538559124,-162.17320764791452,0.0003904347841569987,0.0035459922940370412,0.003668228009870838,2.1669289022849796,2.798555558300379
AUD_USD_2015-03-26 16:00:00,AUD_USD,2015-03-26 12:00:00,0.6801705756929733,0.1535181236673661,0.1663113006396604,1.073514126144907,-0.0755351090890997,0.6477707840064187,0.4374639769452447,53.52691342245102,0.0042891348670978284,0.004363804827778931,4.3650137282694095,0.5630799041186579,0.5562551355632009,0.19497775984176596,12.0,19.0,48.14112373073584,55.117264279561624,-40.904013061788326,-0.5049619558965108,0.0035086109386881985,0.003717827762008207,2.234008074877259,1.7373075090490144
AUD_USD_2015-04-20 16:00:00,AUD_USD,2015-04-20 12:00:00,0.5358744394618817,0.0336322869955118,0.4304932735426063,1.1494586645875635,0.079895108973583,4.7215432141802856,0.7444608567208267,57.09468315409707,0.003721369314006955,0.003946931115726509,2.628806811388583,-1.389143991508284,0.5231080750117785,0.31907667108942167,6.0,19.0,49.808928270932626,56.209191677919215,-62.0365710451239,0.33434562765388687,0.003048916619069608,0.003694596893118565,1.78346501321658,5.195759344862164
AUD_USD_2015-08-18 12:00:00,AUD_USD,2015-08-18 08:00:00,0.4380165289256117,0.1597796143250747,0.4022038567493134,1.1723168234851646,-0.6781998152393443,-0.9527092642648,0.2694541231126582,45.80741893296918,0.0026769838283620473,0.003424356361026442,-0.18731232992325633,2.322026986462346,0.459539944992977,0.3382008028090834,19.0,16.0,36.48235698026099,48.841760237118876,-211.19625372498126,-1.491227492917539,0.0019507858926865744,0.0038385020527930583,2.031369922788336,0.7492493196929896
AUD_USD_2016-09-08 16:00:00,AUD_USD,2016-09-08 12:00:00,0.7910958904109916,0.1404109589040826,0.0684931506849257,1.0041957461098077,1.2346105234706464,3.566270509301018,0.8257527226137128,63.7420348969377,0.0029790043579695476,0.0028460294108485725,5.327052091521006,0.38860999763838255,0.5517851872833905,0.17384086137288662,0.0,17.0,63.53341497235668,59.97243219699267,169.35241287439246,1.229479841158016,0.0028957927033445145,0.002779408468045908,0.9354152155543473,4.432905194299943
AUD_USD_2016-09-23 20:00:00,AUD_USD,2016-09-23 16:00:00,0.3953488372093233,0.1511627906976368,0.4534883720930397,0.6110881357253383,-0.5968767837317505,2.6148887668248,0.6410256410256443,58.11134881720521,0.002719581251493038,0.002874250499306445,3.4036188024703207,3.535073808411234,0.38095953235289715,0.3929118359121297,7.0,14.0,51.27185635283335,56.637503832964875,-16.097425822379922,0.39241512140012064,0.002459324716497727,0.0022810072663254906,1.790630351195212,3.1975541985629237
