cluster_label,size,size_fraction,centroid_monotonicity_ratio_in_profit,centroid_local_peaks_count,centroid_pullback_magnitude_median,centroid_time_to_peak_mfe_relative
0,234,0.1424223981,0.007061457061,0.547008547,0.00915070542,0.1115213026
1,425,0.2586731589,0.5261089455,12.14352941,0.2987484265,0.7123998491
2,513,0.3122337188,0.5299800808,5.73294347,0.1467292896,0.2438864643
3,274,0.1667681071,0.5549740117,25.58394161,0.2522869258,0.8447695721
4,197,0.1199026172,0.4927884407,7.350253807,0.6733665583,0.588020976
