cluster_id,fold_id,n_trades,roi_pct,max_dd_pct,roi_dd_ratio
0,2,30,0.45528008733780045,0.018569796633708276,24.51723604292826
0,3,37,0.43653806580560595,0.017638280726529926,24.749468078768267
0,4,36,0.48475645858147653,0.015685220492342,30.905300873401767
0,5,28,0.2973409191749139,0.014349917571733345,20.720740567919353
0,6,33,0.29522989421312174,0.012549345457914082,23.525521327244906
0,7,24,0.3450132423081991,0.009071654796590124,38.03200739493345
0,8,38,0.3662447645839306,0.014502242809478864,25.25435337109016
0,9,36,0.3375476418029937,0.01479810386016652,22.81019548130103
0,10,23,0.24678486966245727,0.0136115359986041,18.130567313473346
0,11,34,0.2714204999559402,0.022810609714698216,11.898870891690722
1,2,87,0.25423952415787276,0.037403309142764525,6.797246820795108
1,3,80,0.34541759785574655,0.02032856442064948,16.991735899701606
1,4,80,0.35023952375703105,0.029840620609502485,11.737005350535515
1,5,88,0.2593219416772097,0.02395818430540129,10.823939676377998
1,6,81,0.22009162411332994,0.029553218413887163,7.4472979907294325
1,7,81,0.406536102281879,0.03877189424373564,10.485329907438373
1,8,85,0.28939476226344407,0.03615024518792792,8.005333318184107
1,9,108,0.29375774108872177,0.035140635581365785,8.359488558724141
1,10,94,0.3044394868064131,0.026597907253054873,11.445993999074759
1,11,98,0.4984974996322442,0.03490406320448158,14.281933215392488
