trade_id,signal_bar_time,pair,body_to_range_ratio,upper_wick_ratio,lower_wick_ratio,range_to_atr_14,ret_5bar_atr,ret_20bar_atr,pos_in_20bar_range,rsi_14
AUD_CAD_2010-03-11T20:00:00,2010-03-11 20:00:00,AUD_CAD,0.7191011235955014,0.12734082397003715,0.15355805243446144,0.877279381668888,0.27271231714799926,0.24971248317165715,0.43492769744160115,49.1285822356589
AUD_CAD_2011-02-21T12:00:00,2011-02-21 12:00:00,AUD_CAD,0.7686567164179609,0.08955223880593861,0.14179104477610055,0.8134557332323711,-2.2612855270825913,1.5267471411040876,0.529476584022039,48.060640939070055
AUD_CAD_2012-06-11T00:00:00,2012-06-11 00:00:00,AUD_CAD,0.5615763546798243,0.3620689655172112,0.07635467980296455,1.1859681026679387,0.7185915104835754,2.319356338715176,0.5717241379310364,56.96175120927677
AUD_CAD_2014-11-17T08:00:00,2014-11-17 08:00:00,AUD_CAD,0.8954423592493297,0.021447721179616287,0.08310991957105404,1.0722142264731656,1.0607159505860424,0.42831077679490687,0.49820466786355294,50.90400689248128
AUD_CAD_2015-05-08T00:00:00,2015-05-08 00:00:00,AUD_CAD,0.6079664570230571,0.23060796645701842,0.16142557651992454,1.1570618384891804,-1.2274073171394413,1.3608211559589594,0.5879895561357728,47.00314748127992
AUD_CAD_2015-07-21T04:00:00,2015-07-21 04:00:00,AUD_CAD,0.5138888888888872,0.31111111111110973,0.1750000000000031,1.1766189905369826,-0.48372114055406223,1.0687622497377436,0.4608540925266958,51.33040823716524
AUD_CAD_2015-08-18T12:00:00,2015-08-18 12:00:00,AUD_CAD,0.8342857142857276,0.10857142857142132,0.057142857142851104,1.6379250459315318,-2.199499347393781,0.4149410116359719,0.4109116022099441,40.414077473964156
AUD_CAD_2016-02-12T16:00:00,2016-02-12 16:00:00,AUD_CAD,0.7571022727272758,0.03551136363635949,0.20738636363636467,1.3809659689803362,-1.6183194948988386,0.9356829079596704,0.5148605395518959,43.277372089801894
AUD_CAD_2016-02-24T16:00:00,2016-02-24 16:00:00,AUD_CAD,0.825448613376835,0.0636215334420875,0.1109298531810775,1.6586869945161018,-1.8129205323422188,2.15115197494337,0.4872062663185352,45.91047963806158
AUD_CAD_2016-06-28T16:00:00,2016-06-28 16:00:00,AUD_CAD,0.5831578947368253,0.18947368421052754,0.22736842105264707,0.9792136065604263,0.9627215879236257,-0.3587014053505463,0.5153876119984431,50.41878329582015
AUD_CAD_2017-10-18T00:00:00,2017-10-18 00:00:00,AUD_CAD,0.6538461538461834,0.2615384615384307,0.08461538461538592,0.9543904507199692,-1.0571709607975281,1.4205734785716964,0.4381107491856695,49.53612156215
AUD_CAD_2017-10-27T20:00:00,2017-10-27 20:00:00,AUD_CAD,0.9044368600682771,0.08532423208190221,0.010238907849820686,1.0096194173894237,-0.003445800059372157,-0.34458000593495863,0.6364296081277167,46.85322112714486
AUD_CAD_2018-03-01T00:00:00,2018-03-01 00:00:00,AUD_CAD,0.6542056074766488,0.21028037383178091,0.13551401869157023,1.7542649723789907,-1.176341231478465,0.4590599927720362,0.3069414316702817,43.170305202207274
AUD_CAD_2019-02-27T08:00:00,2019-02-27 08:00:00,AUD_CAD,0.9761904761904787,0.023809523809521293,0.0,1.498453606682725,-1.6375957273032649,1.2415758455371342,0.5185512367491106,46.654395375461085
AUD_CAD_2019-03-06T04:00:00,2019-03-06 04:00:00,AUD_CAD,0.7142857142857036,0.1093749999999969,0.17633928571429944,1.5404854334392348,-1.5817484361206076,2.2419564790231803,0.578947368421053,46.374276077904725
AUD_CAD_2019-03-20T16:00:00,2019-03-20 16:00:00,AUD_CAD,0.629283489096571,0.20872274143303732,0.16199376947039174,1.411660166949325,0.22868015165532365,0.8663459591557671,0.48911465892597294,50.035985176738414
AUD_CAD_2019-07-17T08:00:00,2019-07-17 08:00:00,AUD_CAD,0.9338235294117407,0.022058823529474192,0.04411764705878511,0.7622848789562766,-0.5380834439691657,1.6871157982781713,0.5527192008878961,49.21649919974913
AUD_CAD_2019-09-05T08:00:00,2019-09-05 08:00:00,AUD_CAD,0.7831858407079726,0.19469026548672044,0.02212389380530691,0.9653623657401464,-2.2809889526780096,1.6787053528135834,0.5168627450980364,50.902456627321016
AUD_CAD_2020-05-28T20:00:00,2020-05-28 20:00:00,AUD_CAD,0.8686868686868763,0.08080808080807826,0.05050505050504541,1.3021742980104478,0.8615395608048856,-0.6839703383489553,0.503982621288919,49.41967811857568
AUD_CAD_2020-10-02T04:00:00,2020-10-02 04:00:00,AUD_CAD,0.7029177718832611,0.07957559681699573,0.21750663129974318,1.3920436745895046,-1.6726678636313694,1.9606768997533741,0.4339207048458186,45.37828911998872
AUD_CAD_2021-02-15T12:00:00,2021-02-15 12:00:00,AUD_CAD,0.839378238341951,0.1502590673575204,0.010362694300528566,1.0727590862687524,-0.8337505851829436,0.27235852449309944,0.5265553869499292,49.9437090154348
