trade_id,pair,entry_time,entry_price,signal_bar_atr_14,sl_at_entry_price,exit_time,exit_price,exit_reason,bars_held,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit
AUD_CAD_2010-03-11T20:00:00,AUD_CAD,2010-03-12T00:00:00,0.93704,0.0030435002301328457,0.9309529995397343,2010-03-12T16:00:00,0.9307029995397343,hard_sl,4,-1.041071132100594,0.4895678946391781,-1.0957778044440651,8.0,5.0
AUD_CAD_2011-02-21T12:00:00,AUD_CAD,2011-02-21T16:00:00,0.99317,0.003294586159409781,0.9865808276811804,2011-02-22T04:00:00,0.9863308276811804,hard_sl,3,-1.0379410323336045,0.04249395621364164,-1.1503721003547793,5.0,5.0
AUD_CAD_2012-06-11T00:00:00,AUD_CAD,2012-06-11T04:00:00,1.018745,0.0034233635718082366,1.0118982728563835,2012-08-06T04:00:00,1.056225,bar_240_system_exit,240,5.474148335959953,5.870688163391421,-0.3804737570751206,4.5,4.5
AUD_CAD_2014-11-17T08:00:00,AUD_CAD,2014-11-17T12:00:00,0.987275,0.0034787824185742253,0.9803174351628515,2014-11-19T08:00:00,0.9802874351628516,hard_sl,11,-1.0043118534576687,0.18325377195084586,-1.3603897658939066,0.1,0.6
AUD_CAD_2015-05-08T00:00:00,AUD_CAD,2015-05-08T04:00:00,0.955935,0.004122510864439555,0.9476899782711209,2015-06-05T20:00:00,0.9476449782711209,hard_sl,124,-1.0054578388607907,2.2747059518725687,-1.2086080943967044,2.7,0.9
AUD_CAD_2015-07-21T04:00:00,AUD_CAD,2015-07-21T08:00:00,0.95598,0.0030596140542972945,0.9498607718914055,2015-07-24T04:00:00,0.9498107718914055,hard_sl,17,-1.0081709652120556,1.248523484403112,-1.2812073452513755,2.8,1.0
AUD_CAD_2015-08-18T12:00:00,AUD_CAD,2015-08-18T16:00:00,0.959345,0.0032052748769185353,0.952934450246163,2015-08-24T16:00:00,0.952719450246163,hard_sl,24,-1.0335384652262063,1.1582469967658764,-3.7929664277928885,4.3,4.3
AUD_CAD_2016-02-12T16:00:00,AUD_CAD,2016-02-12T20:00:00,0.982405,0.005097880873341267,0.9722092382533174,2016-02-26T16:00:00,0.9719942382533174,hard_sl,59,-1.0210871934183792,1.3638019743374665,-1.8816642127050844,4.3,4.3
AUD_CAD_2016-02-24T16:00:00,AUD_CAD,2016-02-24T20:00:00,0.9867049999999999,0.003695694257124395,0.9793136114857511,2016-02-25T16:00:00,0.9790986114857512,hard_sl,5,-1.0290879040636975,0.325378647782328,-1.2358976912646178,4.3,4.3
AUD_CAD_2016-06-28T16:00:00,AUD_CAD,2016-06-28T20:00:00,0.962735,0.004850831287654206,0.9530333374246915,2016-08-23T20:00:00,0.983295,bar_240_system_exit,240,2.1192243948297107,5.0151197923365505,-0.515890957982625,4.3,4.3
AUD_CAD_2017-10-18T00:00:00,AUD_CAD,2017-10-18T04:00:00,0.9803550000000001,0.002724251901345574,0.974906496197309,2017-10-25T16:00:00,0.9748364961973089,hard_sl,33,-1.0128475637596914,1.4637045854792115,-1.118655730218928,0.1,1.4
AUD_CAD_2017-10-27T20:00:00,AUD_CAD,2017-10-30T00:00:00,0.98358,0.0029020836461090445,0.9777758327077819,2017-11-03T12:00:00,0.9777058327077819,hard_sl,27,-1.0120603002077295,1.3938261240069136,-1.2387651213361803,0.6,1.4
AUD_CAD_2018-03-01T00:00:00,AUD_CAD,2018-03-01T04:00:00,0.992815,0.00243976826043318,0.9879354634791336,2018-03-28T12:00:00,0.9879304634791336,hard_sl,116,-1.0010246874838746,6.448358335970293,-1.1220327948335396,0.5,0.1
AUD_CAD_2019-02-27T08:00:00,AUD_CAD,2019-02-27T12:00:00,0.94207,0.002802889579810173,0.9364642208403796,2019-02-28T16:00:00,0.9362642208403796,hard_sl,7,-1.035677466825776,0.09097754040573913,-1.6340279806206834,4.0,4.0
AUD_CAD_2019-03-06T04:00:00,AUD_CAD,2019-03-06T08:00:00,0.94062,0.002908174204541581,0.9348036515909168,2019-05-01T08:00:00,0.94307,bar_240_system_exit,240,0.42122648570602883,3.555495397714637,-0.3765248994678497,4.0,1.8
AUD_CAD_2019-03-20T16:00:00,AUD_CAD,2019-03-20T20:00:00,0.9446399999999999,0.002273918380042579,0.9400921632399147,2019-05-06T00:00:00,0.9398921632399148,hard_sl,193,-1.0439769522414133,3.663280121709593,-1.7216976802512312,4.0,4.0
AUD_CAD_2019-07-17T08:00:00,AUD_CAD,2019-07-17T12:00:00,0.9151499999999999,0.0017841099010938602,0.9115817801978122,2019-07-26T16:00:00,0.9115267801978122,hard_sl,43,-1.0154138486553643,2.667997076346937,-1.3648262354841683,1.2,1.1
AUD_CAD_2019-09-05T08:00:00,AUD_CAD,2019-09-05T12:00:00,0.898995,0.0023410898127018765,0.8943128203745963,2019-09-27T12:00:00,0.8942628203745963,hard_sl,96,-1.010678787231634,3.277319801389898,-1.0305029678531181,1.1,1.0
AUD_CAD_2020-05-28T20:00:00,AUD_CAD,2020-05-29T00:00:00,0.91323,0.0030410675483691593,0.9071478649032617,2020-07-24T00:00:00,0.95133,bar_240_system_exit,240,6.2642475699745646,8.344109295963483,-0.4389905777383665,1.4,1.0
AUD_CAD_2020-10-02T04:00:00,AUD_CAD,2020-10-02T08:00:00,0.950575,0.0027082483608941183,0.9451585032782117,2020-10-06T20:00:00,0.9451285032782117,hard_sl,15,-1.0055386353100324,0.8058714376105031,-1.0163395793919223,0.9,0.6
AUD_CAD_2021-02-15T12:00:00,AUD_CAD,2021-02-15T16:00:00,0.98312,0.0017990991870438233,0.9795218016259124,2021-02-26T16:00:00,0.9795118016259124,hard_sl,54,-1.0027791686172485,4.502253159988056,-1.145017470317954,0.2,0.2
AUD_CAD_2021-02-16T12:00:00,AUD_CAD,2021-02-16T16:00:00,0.9834499999999999,0.001870241529878578,0.9797095169402428,2021-02-26T16:00:00,0.9796995169402428,hard_sl,48,-1.0026734514874687,4.242767510630133,-1.189685911928408,0.2,0.2
AUD_CAD_2021-06-28T08:00:00,AUD_CAD,2021-06-28T12:00:00,0.9325899999999999,0.002005879927303981,0.9285782401453919,2021-06-30T12:00:00,0.928568240145392,hard_sl,12,-1.0024926716359919,0.5085050137427518,-1.2538138329048638,0.2,0.2
AUD_CAD_2022-06-20T20:00:00,AUD_CAD,2022-06-21T00:00:00,0.902595,0.0036093717710621266,0.8953762564578758,2022-06-22T08:00:00,0.8953712564578757,hard_sl,8,-1.0006926413122816,0.4024246024322792,-1.212814937795081,0.1,0.1
AUD_CAD_2023-10-03T04:00:00,AUD_CAD,2023-10-03T08:00:00,0.86615,0.0026161365593410577,0.8609177268813178,2023-10-13T16:00:00,0.8608477268813178,hard_sl,50,-1.013378506513754,1.6608460229210624,-1.4716357165123244,1.4,1.4
