pair,1,2,3,4,5,6,7
AUD_CAD,0.40816558626179916,0.356932424422051,0.5358568177148367,0.6211455980509099,0.5967503217503217,0.5337362661437851,0.31559790280298444
AUD_CHF,0.3759189159534782,0.4953128929739123,0.4120707503391162,0.6024146414077313,0.6590875712299529,0.2578919521024784,0.41232862741669946
AUD_JPY,0.5513352250472203,0.43956148087674674,0.5674959160022899,0.6380368098159509,0.526337920136033,0.4637849493984171,0.3757973797928527
AUD_NZD,0.5240517605138544,0.20867749943579328,0.1604553200368638,0.6378459320059897,0.480507290666201,0.42874647678386,0.5343606568151693
AUD_USD,0.6180899990982055,0.5507815642008741,0.41174458874458875,0.4984620080773927,0.6488735472980284,0.5890105433901055,0.6169556388628553
CAD_CHF,0.6589409233674044,0.5222534222534223,0.6261150929756834,0.5905173573916274,0.47954855811711783,0.445699022643113,0.47299390344373043
CAD_JPY,0.3410710740520151,0.46171093020152143,0.5899657401473253,0.5497736723953925,0.43930498725019274,0.572984541410147,0.4013888888888889
CHF_JPY,0.5855342558028573,0.4588645055545438,0.5488193472957172,0.47588219203063736,0.5846070419693301,0.4777422095902252,0.3996249184605349
EUR_AUD,0.321718636693256,0.6154472251187579,0.477869838300147,0.6030869207952542,0.701567909248269,0.45444908067033046,0.5676234684855375
EUR_CAD,0.4478363493312353,0.3932069043548225,0.5785933569266193,0.39743646992717624,0.5642719274058106,0.28010102576027696,0.3786372232050266
EUR_CHF,0.5369103020348571,0.5289929189614476,0.3688367553499133,0.43038269779960686,0.5273600107425809,0.5566773306132542,0.6352079791035214
EUR_GBP,0.5763941486596866,0.45301799237523505,0.3594419455668217,0.5684148027898028,0.4997590005902026,0.6053838110303777,0.5742199791833079
EUR_JPY,0.6030765493730473,0.3463035218172904,0.4521566976191004,0.6161066868500724,0.42030661800626457,0.6379174361341952,0.5045206489675517
EUR_NZD,0.46484674615744753,0.5526427595393113,0.5532237384375859,0.4848477786064352,0.3562090083829214,0.4762124157431017,0.5315654487601492
EUR_USD,0.5810458437577081,0.2463088694902468,0.43959101623388963,0.5728251930598736,0.5424523387852901,0.41995408339484896,0.4111111111111111
GBP_AUD,0.4569110347460863,0.3952330944732724,0.4079006141820212,0.6138499181977444,0.6732900341125907,0.3517772161522865,0.5218573691939099
GBP_CAD,0.45430654459138686,0.5324538966780347,0.4888431170614487,0.527939978004067,0.6051405098492345,0.2407535880938914,0.39606187321241093
GBP_CHF,0.5265364516770328,0.48907518018917595,0.5374019919474465,0.53890644274677,0.5245124593716143,0.4270039840974097,0.5193171608265947
GBP_JPY,0.4451459573650854,0.23772661402419185,0.575075920360929,0.48441819269088,0.49164678659187466,0.3147100424328147,0.5533112277793129
GBP_NZD,0.5204671857619577,0.5996954021355011,0.4148335804910199,0.45801882002504823,0.4540523728607841,0.44267649881041576,0.3265789309937154
GBP_USD,0.7101239076561888,0.4089108123532329,0.6072568925097327,0.45779040404040405,0.594704728937769,0.5097424768518519,0.391254750165991
NZD_CAD,0.21922558922558924,0.4717307566755892,0.6412181143948759,0.5093127191856983,0.23988373848709044,0.8254134615384615,0.42828282828282827
NZD_CHF,0.5976340519624102,0.47972776358757147,0.7371531710079275,0.3414415911798111,0.5143683825185852,0.41478524312156373,0.36153296153296155
NZD_JPY,0.32649363164069045,0.5410174921840685,0.48774162010224925,0.5462954263595025,0.5148502984751477,0.42354543309957327,0.4696019545963555
NZD_USD,0.49679937369039123,0.4164207816251555,0.48048367640764233,0.30921368940950217,0.43956174119040575,0.6001002506265665,0.21059033989266548
USD_CAD,0.28664167753150804,0.48326676349552167,0.5582042529438918,0.46718412494955974,0.7296342637151106,0.39813584672331825,0.3644812649817066
USD_CHF,0.41807601812812856,0.3550639186628416,0.4674426830444709,0.6290847386467007,0.4577094825321776,0.4752028789137055,0.5409584487534627
USD_JPY,0.5845597232184296,0.4223689284800629,0.5394385764459189,0.6133966340480383,0.3989082020640956,0.6323693966970003,0.49304189435336976
__OVERALL__,0.48325702172577667,0.4740738448628351,0.529003107433202,0.5351510394155549,0.5399323151872931,0.47329303953520135,0.4930928335627611
