fold_id,pair,val_auc,n_val,n_pos,clean_rate
1,AUD_CAD,0.5481927733623858,4612,671,0.14549002601908065
1,AUD_CHF,0.527659830190413,4612,739,0.16023417172593235
1,AUD_JPY,0.4798648136306585,4612,699,0.151561144839549
1,AUD_NZD,0.5423378689754816,4612,731,0.15849956634865567
1,AUD_USD,0.5411866257637732,4612,840,0.1821335646140503
1,CAD_CHF,0.5542223697463602,4611,536,0.11624376490999783
1,CAD_JPY,0.4533466565951637,4612,904,0.19601040763226366
1,CHF_JPY,0.42898009192360587,4613,568,0.12313028398005636
1,EUR_AUD,0.5170000460063945,4612,539,0.11686903729401561
1,EUR_CAD,0.5412490330985629,4612,377,0.08174327840416305
1,EUR_CHF,0.4828435800263121,4612,802,0.17389418907198612
1,EUR_GBP,0.46641827021073795,4611,814,0.1765343743222728
1,EUR_JPY,0.42459934381680564,4612,615,0.13334778837814398
1,EUR_NZD,0.5729761112481442,4611,526,0.11407503795272175
1,EUR_USD,0.5022880226729554,4612,975,0.2114050303555941
1,GBP_AUD,0.3373883477263056,4612,331,0.0717692974848222
1,GBP_CAD,0.4438116795039042,4612,393,0.08521248915871639
1,GBP_CHF,0.5314212562852328,4612,509,0.1103642671292281
1,GBP_JPY,0.4745392152374752,4612,586,0.12705984388551606
1,GBP_NZD,0.4875787208010568,4612,244,0.05290546400693842
1,GBP_USD,0.5334086583979858,4612,373,0.08087597571552471
1,NZD_CAD,0.49098454898960153,4612,478,0.10364267129228101
1,NZD_CHF,0.6183979687987036,4612,631,0.13681699913269732
1,NZD_JPY,0.48657086307608116,4612,505,0.10949696444058976
1,NZD_USD,0.5720301382378893,4612,597,0.12944492627927146
1,USD_CAD,0.49331208947537275,4612,456,0.09887250650477017
1,USD_CHF,0.5720268201304537,4612,479,0.10385949696444059
1,USD_JPY,0.44831735394527794,4612,1010,0.21899392888117952
2,AUD_CAD,0.5861009424260564,4612,508,0.11014744145706852
2,AUD_CHF,0.510743177309094,4612,348,0.07545533391153512
2,AUD_JPY,0.5078789261704001,4612,1246,0.2701647875108413
2,AUD_NZD,0.2934633808913346,4612,339,0.07350390286209887
2,AUD_USD,0.5133000027918624,4612,577,0.1251084128360798
2,CAD_CHF,0.4550997888250363,4612,572,0.12402428447528187
2,CAD_JPY,0.5366897680412889,4612,951,0.20620121422376408
2,CHF_JPY,0.5240676734765762,4612,668,0.1448395490026019
2,EUR_AUD,0.4423586377707891,4612,563,0.12207285342584562
2,EUR_CAD,0.5745021257988827,4611,646,0.1400997614400347
2,EUR_CHF,0.48675422530344037,4611,787,0.1706788115376274
2,EUR_GBP,0.48214419632982763,4612,241,0.05225498699045967
2,EUR_JPY,0.5353883593863962,4612,1043,0.2261491760624458
2,EUR_NZD,0.46730340199831594,4612,570,0.1235906331309627
2,EUR_USD,0.5013247775413483,4612,392,0.08499566348655681
2,GBP_AUD,0.5696113122668423,4612,496,0.10754553339115351
2,GBP_CAD,0.589528596772831,4612,356,0.07718993928881179
2,GBP_CHF,0.5398266951923187,4612,716,0.1552471812662619
2,GBP_JPY,0.48931248078970846,4612,1149,0.24913269731136167
2,GBP_NZD,0.5961230233998646,4612,367,0.07957502168256722
2,GBP_USD,0.550527505568176,4612,555,0.12033824804856895
2,NZD_CAD,0.533111749770633,4612,771,0.16717259323503902
2,NZD_CHF,0.4129604717840012,4612,481,0.10429314830875976
2,NZD_JPY,0.3441970728906587,4612,796,0.17259323503902863
2,NZD_USD,0.38681167548072093,4612,763,0.16543798785776237
2,USD_CAD,0.5505878246611439,4612,671,0.14549002601908065
2,USD_CHF,0.5270004992003551,4612,530,0.11491760624457936
2,USD_JPY,0.505128007325438,4612,953,0.20663486556808325
3,AUD_CAD,0.5975011573911702,4618,425,0.09203118233001299
3,AUD_CHF,0.5520286699518645,4615,512,0.11094257854821235
3,AUD_JPY,0.5854755448604767,4619,1053,0.2279714223857978
3,AUD_NZD,0.5416074462360969,4614,593,0.12852188990030342
3,AUD_USD,0.5723289369956686,4618,725,0.15699436985708098
3,CAD_CHF,0.6418791019349935,4617,765,0.16569200779727095
3,CAD_JPY,0.48608516559815,4617,927,0.20077972709551656
3,CHF_JPY,0.4925910891332693,4597,612,0.1331303023711116
3,EUR_AUD,0.5225412644036126,4613,338,0.07327119011489269
3,EUR_CAD,0.4940454444588773,4618,346,0.07492420961455175
3,EUR_CHF,0.4859600498279989,4617,770,0.16677496209659953
3,EUR_GBP,0.6079299233304937,4618,551,0.11931572109138155
3,EUR_JPY,0.48069400276668184,4619,863,0.18683697770080104
3,EUR_NZD,0.5450637158720881,4594,464,0.10100130605137135
3,EUR_USD,0.4968315372570691,4619,329,0.07122753842823122
3,GBP_AUD,0.48872495646449804,4605,422,0.09163952225841476
3,GBP_CAD,0.4989976005270379,4603,393,0.08537910058657397
3,GBP_CHF,0.5550769795229316,4600,433,0.0941304347826087
3,GBP_JPY,0.46279622596709746,4611,863,0.18716113641292562
3,GBP_NZD,0.5148632215275286,4564,456,0.09991235758106924
3,GBP_USD,0.5239872117749027,4619,526,0.11387746265425416
3,NZD_CAD,0.7099286886897564,4612,688,0.1491760624457936
3,NZD_CHF,0.5888536348164357,4613,500,0.10838933448948623
3,NZD_JPY,0.4839653533201692,4618,916,0.19835426591598093
3,NZD_USD,0.5136075476014501,4619,560,0.1212383632820957
3,USD_CAD,0.5171884019577543,4619,282,0.06105217579562676
3,USD_CHF,0.554966917143929,4619,906,0.19614635202424768
3,USD_JPY,0.3404977817352454,4619,987,0.21368261528469365
4,AUD_CAD,0.456529018969233,4614,722,0.1564802774165583
4,AUD_CHF,0.5389859610365316,4613,553,0.11987860394537178
4,AUD_JPY,0.4949347284439633,4613,444,0.09624972902666377
4,AUD_NZD,0.47919446507831703,4610,416,0.09023861171366594
4,AUD_USD,0.5311265464861041,4614,503,0.10901603814477677
4,CAD_CHF,0.43424986598767085,4614,350,0.07585609016038145
4,CAD_JPY,0.6418009296545071,4614,407,0.088209796272215
4,CHF_JPY,0.42418090855206086,4613,382,0.08280945154996748
4,EUR_AUD,0.618665600956267,4614,433,0.09384482011270048
4,EUR_CAD,0.6288946453012747,4614,638,0.13827481577806675
4,EUR_CHF,0.6077929531028533,4614,1008,0.21846553966189858
4,EUR_GBP,0.48582011590666463,4614,664,0.14390983961855222
4,EUR_JPY,0.44401787834670464,4614,816,0.17685305591677503
4,EUR_NZD,0.6029626551591388,4610,362,0.07852494577006508
4,EUR_USD,0.5854075596800611,4614,583,0.12635457303857825
4,GBP_AUD,0.5063597608820507,4612,445,0.09648742411101474
4,GBP_CAD,0.5784683512944383,4612,702,0.15221162185602774
4,GBP_CHF,0.6656931166794984,4614,553,0.11985262245340268
4,GBP_JPY,0.5076397807759312,4614,475,0.10294755093194626
4,GBP_NZD,0.5155585928214881,4607,400,0.08682439765574126
4,GBP_USD,0.5929117904803616,4614,621,0.13459037711313393
4,NZD_CAD,0.5317121083342669,4600,884,0.19217391304347825
4,NZD_CHF,0.4088753499826575,4599,622,0.13524679278103935
4,NZD_JPY,0.5012099381597283,4607,885,0.19209897981332755
4,NZD_USD,0.4522120785601405,4614,683,0.14802774165583008
4,USD_CAD,0.5235413877733154,4614,630,0.13654096228868662
4,USD_CHF,0.5508045124091251,4614,625,0.135457303857824
4,USD_JPY,0.567480574807322,4614,511,0.11074989163415691
