quarter,mean_atr_14,mean_atr_percentile_60,clean_move_rate,n_rows,mean_fold_auc_overlap
2020Q1,0.062119475877062146,0.4929866866445038,0.14285714285714285,42714,
2020Q2,0.05026166627711642,0.4512404609279609,0.1573489010989011,43680,
2020Q3,0.037836718766455314,0.4894555675805676,0.14402958152958154,44352,0.5298190095046792
2020Q4,0.03686031160858562,0.48337888426999837,0.11651087480765256,43541,0.5298190095046792
2021Q1,0.035530491434617936,0.4739435509303059,0.16622516556291392,42280,0.5298190095046792
2021Q2,0.03373908692668083,0.47563229720643074,0.1125985695947185,43624,0.5365203875032147
2021Q3,0.035208625041110254,0.490907212000962,0.1232638888888889,44352,0.5432217655017504
2021Q4,0.04147515213465462,0.47515031645569616,0.1474005424954792,44240,0.5432217655017504
2022Q1,0.04939905130183707,0.4966606133979015,0.14856118457813372,42952,0.5697274414873863
2022Q2,0.06883108924227752,0.4919967185592185,0.17190934065934066,43680,0.5962331174730222
2022Q3,0.06768885444448645,0.4955872162215092,0.11090522890586162,44254,0.5962331174730222
2022Q4,0.0718979733636197,0.4666812253842735,0.11121327755045746,43502,0.5609197209649752
2023Q1,0.06836829657122426,0.4632511155938627,0.10860993948285348,43624,0.5256063244569282
2023Q2,0.05525144785458393,0.48694635225885224,0.1392857142857143,43680,0.5256063244569282
2023Q3,0.05411233720818017,0.489144536019536,0.13839285714285715,43680,0.547581377808845
2023Q4,0.053497833511853665,0.4798260479296763,0.10813194976437542,43077,0.5695564311607617
2024Q1,0.04657880058928551,0.46290031312003965,0.11525762648809523,43008,0.5695564311607617
2024Q2,0.049450262780824095,0.47878777472527473,0.12953296703296704,43680,0.5418015823509523
2024Q3,0.0794050691187099,0.47492634680134677,0.1323728354978355,44352,0.5140467335411429
2024Q4,0.06626094356164688,0.46939076392669205,0.10479041916167664,44088,0.5140467335411429
2025Q1,0.07148626664455524,0.48929676578232256,0.11745440836906837,42442,0.4990929603530776
2025Q2,0.07249489928555375,0.4706803266178266,0.10347985347985347,43680,0.48413918716501225
2025Q3,0.04878852853465937,0.47494889369889365,0.08409992784992786,44352,0.48413918716501225
2025Q4,0.054418562345899035,0.4910157627865961,0.11921296296296297,30240,0.48413918716501225
