fold_id,train_start,train_end,val_start,val_end,train_n,val_n
1,2020-01-02 06:00:00,2020-09-28 14:00:00,2020-09-28 14:00:00,2021-06-28 03:00:00,129136,129134
2,2020-01-02 06:00:00,2021-06-28 03:00:00,2021-06-28 03:00:00,2022-03-23 12:00:00,258270,129134
3,2020-01-02 06:00:00,2022-03-23 12:00:00,2022-03-23 12:00:00,2022-12-19 01:00:00,387404,129134
4,2020-01-02 06:00:00,2022-12-19 01:00:00,2022-12-19 01:00:00,2023-09-13 09:00:00,516538,129134
5,2020-01-02 06:00:00,2023-09-13 09:00:00,2023-09-13 09:00:00,2024-06-11 10:00:00,645672,129134
6,2020-01-02 06:00:00,2024-06-11 10:00:00,2024-06-11 10:00:00,2025-03-07 20:00:00,774806,129134
7,2020-01-02 06:00:00,2025-03-07 20:00:00,2025-03-07 20:00:00,2025-12-02 23:00:00,903940,129134
