pair,spearman_rho,p_value
fold_1_vs_fold_2,0.9892857142857142,2.998934257155075e-12
fold_2_vs_fold_3,0.9857142857142854,1.929094874606783e-11
fold_3_vs_fold_4,0.9785714285714284,2.6454560123987506e-10
fold_4_vs_fold_5,0.9857142857142854,1.929094874606783e-11
fold_5_vs_fold_6,0.9678571428571429,3.596535540931579e-09
fold_6_vs_fold_7,0.9749999999999999,7.143705965229259e-10
fold_1_vs_fold_7,0.9642857142857141,7.07230300920426e-09
