cluster_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative,count,fraction
0,0.4812960761,3.164524422,0.06355175553,0.2160028298,2332,0.1901810471
1,0.004230392984,0.5116883117,0.01026585773,0.03916474473,3849,0.3138965911
2,0.5418474809,22.17861272,0.3546476123,0.8159927491,1731,0.1411678356
3,0.5088108841,8.527946128,0.3288152655,0.5395867913,2973,0.2424563693
4,0.8998836777,2.60261194,0.05777390571,0.4036739519,536,0.04371228185
5,0.5135207204,7.649643705,0.9108401348,0.6186227516,841,0.06858587506
