risk_pct,governance,sizing,daily_ref,segment,fold,calendar_year,n_trades,roi_pct,raw_return_pct,trailing_dd_pct,from_initial_dd_pct,daily_dd_pct,daily_fires,total_fires,kills,roi_basis
0.4,off,fixed-initial,initial,search,F1,2010,201,23.238731341481,20.962795037845083,7.7337829134641405,3.040280616591695,4.063558364317954,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,search,F2,2011,182,25.830308725919295,25.336562618465397,7.550287508926358,2.263553856410716,3.5418968097036263,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,search,F3,2012,179,28.471492989846283,28.24404406961556,3.8856345354927475,0.16637168612165798,1.6929831755757352,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,search,F4,2013,195,40.19034012366078,39.40375162946195,6.401101287395767,0.605818006031511,2.4638834010169086,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,search,F5,2014,192,28.910217533922,28.262057320095344,6.179706019796161,5.549348398994569,2.493919452488347,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,search,F6,2015,190,20.771888308895182,20.52771312747863,5.745041436432071,4.770245384594752,3.084168637379192,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,search,F7,2016,171,28.508296362126394,28.16311965762768,5.523555070674853,2.2770905278280185,2.443226492709638,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,search,F8,2017,190,42.560028749295654,41.950068469896486,6.963248191594736,2.1403777664793955,2.276414481653233,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,search,F9,2018,176,13.771609037894962,13.707993804358676,5.086704757877547,0.8006154382094399,2.2346545621879876,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,search,F10,2019,195,30.967184424702367,30.33190184620502,7.583467207096536,1.253975192162493,2.4346615210819156,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,search,F11,2020,188,34.07567553835793,33.261883979749804,6.211015426362661,4.06444413576722,3.324830759721009,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,holdout,2021,2021,212,33.840000325882905,33.262714839747076,5.362929981793283,1.0443567684227384,2.5094093833478714,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,holdout,2022,2022,179,22.39689789088226,21.974352571199617,6.871416102449842,1.6540862317733773,2.244910789346921,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,holdout,2023,2023,189,24.921643534058123,24.53537798043861,5.336880425043114,0.9002350222665823,2.040835268604657,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,holdout,2024,2024,191,36.736495768313105,36.5121748542512,4.877750001294804,2.6409492158265158,2.4567700130077252,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,holdout,2025,2025,251,43.53700517743639,42.08852564552714,5.863180612838124,3.56770397913746,3.305956959195777,0,0,0,annualised_1y
0.4,off,fixed-initial,initial,holdout,2026p,2026,71,2.7819955182238676,2.7819955182238676,4.585048185400291,0.6107000315008437,2.000035293185798,0,0,0,raw_partial_4mo
0.4,on,fixed-initial,initial,search,F1,2010,201,23.238731341481,20.962795037845083,7.7337829134641405,3.040280616591695,4.063558364317954,1,0,0,annualised_1y
0.4,on,fixed-initial,initial,search,F2,2011,182,25.830308725919295,25.336562618465397,7.550287508926358,2.263553856410716,3.5418968097036263,1,0,0,annualised_1y
0.4,on,fixed-initial,initial,search,F3,2012,179,28.471492989846283,28.24404406961556,3.8856345354927475,0.16637168612165798,1.6929831755757352,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,search,F4,2013,195,40.19034012366078,39.40375162946195,6.401101287395767,0.605818006031511,2.4638834010169086,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,search,F5,2014,192,28.910217533922,28.262057320095344,6.179706019796161,5.549348398994569,2.493919452488347,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,search,F6,2015,190,20.771888308895182,20.52771312747863,5.745041436432071,4.770245384594752,3.084168637379192,0,0,0,annualised_1y
