cluster_id,fold_id,n_trades,roi_pct,max_dd_pct,roi_dd_ratio
0,2,10,-0.018693354962904585,0.35389296709150037,-0.052822058365662145
0,3,9,0.15380171172548618,0.22669396617757584,0.6784552510101169
0,4,15,0.40777199224133454,0.24421227372416499,1.6697440551325786
0,5,7,-0.34343486885928454,0.5521347911803199,-0.6220127301253929
0,6,5,-0.1191226459039435,0.5215461103830856,-0.22840290346800907
0,7,20,0.3946279092363527,0.32123928308541855,1.228454706554117
0,8,9,0.5261272651378506,0.1648003970167768,3.1925121217049646
0,9,17,-0.335559832226358,0.4719673750614483,-0.7109809913930373
0,10,20,-0.23346290275101955,0.317680967488737,-0.7348973550305519
0,11,8,0.07275965038712995,0.45851961516386336,0.1586838337573137
1,2,121,-0.44793246250609065,0.487084852163647,-0.9196189545134895
1,3,130,-0.3836167581147154,0.477291754001872,-0.8037364041977788
1,4,128,-0.17366870465087858,0.3851771462229558,-0.4508800855758775
1,5,201,-0.6374449374580252,0.6444243841730026,-0.989169486930675
1,6,124,-0.49307891277312554,0.4959975708010838,-0.9941155799951916
1,7,123,-0.06233812858496668,0.27454387062561003,-0.227060718721985
1,8,159,-0.36973822159913583,0.44626084718472125,-0.8285248950959161
1,9,184,-0.6344977232416079,0.642796656670616,-0.9870893332395463
1,10,186,-0.6427518351602108,0.6432776913410414,-0.999182536270247
1,11,72,-0.07360467287347372,0.5319268832557729,-0.1383736659876269
